,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,850,610,620,900,780,890,790,740,710,940,580,970,700,580,640,1000,730,520,680,790
2,870,920,630,540,900,970,770,870,610,880,670,740,950,870,700,640,890,1000,780,650
3,780,550,550,630,940,710,820,790,870,690,710,890,820,1000,770,530,580,770,990,960
4,890,710,830,870,930,730,560,520,850,740,730,620,550,590,770,920,510,520,510,970
5,670,820,850,670,590,680,870,700,560,570,840,890,580,860,950,930,950,730,720,590
6,860,600,820,850,740,840,950,620,930,990,920,960,840,830,790,550,910,960,930,630
7,740,900,700,970,990,600,980,530,790,820,980,630,570,660,670,850,630,790,560,810
8,860,990,830,740,520,580,810,880,550,930,950,850,880,950,990,780,600,650,760,520
9,580,860,970,950,800,600,690,540,670,910,750,600,740,930,550,650,710,550,880,530
10,520,690,840,620,890,710,870,880,720,980,590,870,640,580,760,930,700,560,780,680
