,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,25,14,34,46,45,48,11,26,45,16,20,12,11,17,19,11,21,24,32,24,25,24,46,29,27,22,49,42,50,20
2,10,47,14,20,41,37,42,39,13,15,40,35,17,26,32,38,32,17,49,37,31,42,42,20,17,45,15,12,40,40
3,22,42,38,21,46,12,38,28,31,20,22,42,42,37,40,48,35,39,49,25,44,32,45,28,19,44,21,38,38,25
4,36,20,41,38,44,10,37,47,12,31,46,48,34,32,49,29,20,43,30,44,37,47,28,17,12,10,32,35,30,33
5,34,33,30,14,34,32,41,19,39,33,32,42,49,14,14,38,45,18,11,17,33,37,16,18,37,32,22,32,17,17
6,37,43,29,29,33,24,43,22,50,41,39,17,42,47,19,25,14,46,44,33,11,38,38,46,17,45,21,19,12,47
7,21,42,18,28,26,47,14,17,27,16,13,11,39,25,36,11,45,11,22,17,28,32,48,22,19,19,39,46,13,43
8,44,32,19,39,37,41,17,39,48,34,24,34,49,10,30,28,44,46,48,11,42,36,41,37,28,48,37,30,30,29
9,26,40,14,38,43,18,36,38,43,26,34,24,38,48,27,16,17,41,48,21,18,44,34,37,50,21,19,45,25,13
10,15,46,50,43,28,18,29,26,24,42,26,35,41,34,12,30,40,27,12,12,18,34,21,49,27,42,46,23,11,17
11,40,19,35,14,50,42,15,47,26,13,23,34,20,39,26,38,11,15,47,33,43,14,14,26,27,44,44,25,38,43
12,17,11,29,44,43,22,20,35,16,38,12,47,48,20,46,40,43,15,46,23,46,12,17,50,23,24,40,25,12,31
13,19,16,15,10,15,40,42,45,23,14,11,23,24,43,20,44,35,43,45,39,34,27,36,22,42,28,20,18,48,36
14,30,47,35,31,19,11,21,12,44,30,45,45,43,39,41,35,29,25,20,28,49,30,47,19,48,14,36,37,16,50
15,42,47,35,20,27,40,11,18,35,24,15,34,41,12,23,19,36,27,22,33,17,17,24,49,11,28,36,34,48,12
16,25,21,24,42,28,49,23,15,40,28,27,12,18,21,19,14,28,45,20,28,29,43,26,50,10,30,19,28,46,36
17,40,38,16,45,14,40,13,45,47,34,42,35,13,12,43,44,34,23,18,22,15,19,36,17,49,40,27,24,22,37
18,20,45,25,46,17,23,36,11,38,40,48,50,23,31,16,29,11,14,29,20,21,16,23,43,12,40,28,23,25,15
19,40,39,39,34,11,28,17,13,15,18,21,39,18,28,49,22,32,43,42,29,19,27,15,19,49,33,21,37,42,29
20,41,18,29,14,14,16,17,45,18,31,23,47,32,41,13,35,18,44,16,36,13,29,11,11,48,21,38,38,49,32
