,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,850,610,620,900,780,890,790,740,710,940,580,970,700,580,640,1000,730,520,680,790,630,660,820,920,730,870,680,960,940,510
2,870,920,630,540,900,970,770,870,610,880,670,740,950,870,700,640,890,1000,780,650,710,890,970,830,950,630,630,550,800,680
3,780,550,550,630,940,710,820,790,870,690,710,890,820,1000,770,530,580,770,990,960,550,930,980,650,970,620,960,640,610,960
4,890,710,830,870,930,730,560,520,850,740,730,620,550,590,770,920,510,520,510,970,830,780,750,520,790,760,800,940,960,700
5,670,820,850,670,590,680,870,700,560,570,840,890,580,860,950,930,950,730,720,590,670,960,870,680,770,930,570,690,940,560
6,860,600,820,850,740,840,950,620,930,990,920,960,840,830,790,550,910,960,930,630,700,570,910,720,1000,750,820,990,1000,900
7,740,900,700,970,990,600,980,530,790,820,980,630,570,660,670,850,630,790,560,810,520,700,800,760,660,720,870,590,840,880
8,860,990,830,740,520,580,810,880,550,930,950,850,880,950,990,780,600,650,760,520,920,920,630,780,680,940,610,700,500,550
9,580,860,970,950,800,600,690,540,670,910,750,600,740,930,550,650,710,550,880,530,990,540,910,690,620,940,980,710,920,760
10,520,690,840,620,890,710,870,880,720,980,590,870,640,580,760,930,700,560,780,680,570,690,730,790,940,770,520,760,850,910
11,720,550,540,880,910,940,680,880,880,950,970,500,750,530,740,670,540,710,920,500,910,920,1000,580,570,670,570,970,670,960
12,850,650,620,570,550,590,510,750,600,550,840,630,940,780,910,690,580,570,830,560,530,750,550,870,840,840,870,570,600,640
13,720,700,840,930,560,760,710,970,610,850,780,950,650,550,600,820,850,910,760,560,890,800,950,810,970,720,850,720,600,830
14,700,530,990,840,990,690,530,790,960,560,870,810,900,860,660,970,810,880,790,580,910,620,620,840,710,580,830,650,560,580
15,540,950,650,510,750,910,530,600,810,780,630,720,900,750,1000,720,590,920,630,980,870,750,640,630,990,780,740,780,620,690
16,790,820,610,960,810,530,620,820,700,930,830,540,820,900,830,550,660,830,780,680,760,880,760,650,690,760,840,640,550,580
17,730,940,520,860,820,810,770,550,840,610,770,730,560,970,790,880,890,550,630,940,660,810,710,690,730,600,670,560,810,580
18,510,650,690,850,920,740,780,970,940,630,700,520,820,590,760,580,610,610,600,760,920,570,650,810,660,980,670,960,890,760
19,600,640,740,850,950,730,980,950,980,850,850,880,980,810,870,730,830,790,780,680,860,840,950,880,530,700,810,740,920,960
20,590,990,920,700,980,570,610,960,840,770,760,940,750,870,610,760,850,910,730,620,790,600,970,560,620,910,870,760,790,590
