,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,25,14,34,46,45,48,11,26,45,16,20,12,11,17,19,11,21,24,32,24,25,24,46,29,27,22,49,42,50,20,48,12,38,43,49,29,22,40,24,41,13,18,13,24,29,30,25,49,12,19
2,10,47,14,20,41,37,42,39,13,15,40,35,17,26,32,38,32,17,49,37,31,42,42,20,17,45,15,12,40,40,49,47,46,32,30,37,30,16,12,42,37,39,33,16,46,25,18,18,23,23
3,22,42,38,21,46,12,38,28,31,20,22,42,42,37,40,48,35,39,49,25,44,32,45,28,19,44,21,38,38,25,23,13,49,21,31,26,50,46,42,46,33,38,26,14,46,25,14,41,41,37
4,36,20,41,38,44,10,37,47,12,31,46,48,34,32,49,29,20,43,30,44,37,47,28,17,12,10,32,35,30,33,34,47,31,15,13,33,43,13,21,38,27,25,27,23,18,40,31,46,34,31
5,34,33,30,14,34,32,41,19,39,33,32,42,49,14,14,38,45,18,11,17,33,37,16,18,37,32,22,32,17,17,44,48,20,27,32,49,39,48,33,48,20,17,45,43,12,46,27,15,11,18
6,37,43,29,29,33,24,43,22,50,41,39,17,42,47,19,25,14,46,44,33,11,38,38,46,17,45,21,19,12,47,17,48,15,24,14,48,30,35,43,49,29,16,21,42,42,38,13,13,28,21
7,21,42,18,28,26,47,14,17,27,16,13,11,39,25,36,11,45,11,22,17,28,32,48,22,19,19,39,46,13,43,48,20,31,18,40,34,31,16,25,41,30,44,16,41,46,15,36,11,31,44
8,44,32,19,39,37,41,17,39,48,34,24,34,49,10,30,28,44,46,48,11,42,36,41,37,28,48,37,30,30,29,12,37,33,40,27,42,46,49,14,39,27,19,41,50,46,33,23,26,15,31
9,26,40,14,38,43,18,36,38,43,26,34,24,38,48,27,16,17,41,48,21,18,44,34,37,50,21,19,45,25,13,45,14,24,13,15,39,32,12,49,34,47,30,26,30,11,20,47,33,23,21
10,15,46,50,43,28,18,29,26,24,42,26,35,41,34,12,30,40,27,12,12,18,34,21,49,27,42,46,23,11,17,32,34,43,11,20,32,32,29,26,47,42,14,23,26,17,27,32,17,42,27
11,40,19,35,14,50,42,15,47,26,13,23,34,20,39,26,38,11,15,47,33,43,14,14,26,27,44,44,25,38,43,19,19,25,38,12,45,49,30,14,30,47,33,46,44,36,19,23,46,37,40
12,17,11,29,44,43,22,20,35,16,38,12,47,48,20,46,40,43,15,46,23,46,12,17,50,23,24,40,25,12,31,43,43,26,37,49,37,31,22,34,30,48,50,11,32,48,43,33,45,44,28
13,19,16,15,10,15,40,42,45,23,14,11,23,24,43,20,44,35,43,45,39,34,27,36,22,42,28,20,18,48,36,31,44,17,31,27,38,49,24,47,39,48,49,43,49,29,30,47,20,33,15
14,30,47,35,31,19,11,21,12,44,30,45,45,43,39,41,35,29,25,20,28,49,30,47,19,48,14,36,37,16,50,39,16,13,12,23,12,14,11,20,25,44,41,28,28,17,46,44,21,48,17
15,42,47,35,20,27,40,11,18,35,24,15,34,41,12,23,19,36,27,22,33,17,17,24,49,11,28,36,34,48,12,34,16,36,40,18,27,22,14,36,37,28,37,35,50,18,36,11,28,43,18
16,25,21,24,42,28,49,23,15,40,28,27,12,18,21,19,14,28,45,20,28,29,43,26,50,10,30,19,28,46,36,25,14,23,19,45,22,23,31,21,45,31,30,29,15,31,27,15,20,39,44
17,40,38,16,45,14,40,13,45,47,34,42,35,13,12,43,44,34,23,18,22,15,19,36,17,49,40,27,24,22,37,46,12,12,22,27,48,26,33,18,20,14,46,33,15,49,12,48,13,16,20
18,20,45,25,46,17,23,36,11,38,40,48,50,23,31,16,29,11,14,29,20,21,16,23,43,12,40,28,23,25,15,48,13,40,40,43,40,43,18,49,41,22,19,34,49,49,41,45,12,38,19
19,40,39,39,34,11,28,17,13,15,18,21,39,18,28,49,22,32,43,42,29,19,27,15,19,49,33,21,37,42,29,20,18,48,14,32,46,22,33,44,32,47,19,25,48,44,37,21,43,46,20
20,41,18,29,14,14,16,17,45,18,31,23,47,32,41,13,35,18,44,16,36,13,29,11,11,48,21,38,38,49,32,32,25,12,44,31,30,19,24,30,14,21,11,33,16,28,34,26,37,39,35
21,20,38,43,17,46,28,40,35,21,18,28,32,25,39,26,23,50,14,31,10,33,36,33,20,30,36,42,19,29,45,37,42,15,31,15,40,23,29,15,23,46,26,15,44,34,45,16,45,21,47
22,12,19,22,14,36,40,42,30,34,16,17,46,15,25,12,30,12,23,24,19,45,12,37,21,28,26,39,37,16,19,32,39,44,13,44,17,34,27,49,29,40,38,34,35,38,39,14,36,37,44
23,20,10,26,48,30,26,45,10,30,12,42,29,41,45,11,27,38,38,14,35,22,50,20,19,16,15,33,36,15,39,16,18,36,20,34,32,12,11,47,26,48,15,50,14,38,26,40,17,33,40
24,23,11,43,15,16,44,32,32,26,26,40,13,34,17,28,32,47,40,39,12,15,19,28,17,18,11,42,10,16,10,30,28,48,43,27,35,29,38,39,20,26,31,25,38,18,29,41,38,24,48
25,42,12,11,11,32,34,25,33,27,11,29,34,42,18,19,31,37,45,23,40,47,40,23,14,17,23,18,38,14,34,24,44,21,19,21,21,18,10,11,28,35,30,46,31,11,28,46,14,10,46
26,42,48,39,37,27,31,17,20,44,24,16,23,50,35,48,28,28,22,31,15,19,42,21,13,40,18,13,45,22,46,33,26,12,13,46,45,31,35,14,29,26,45,47,14,42,42,25,21,20,26
27,50,44,30,17,11,12,21,12,13,21,20,37,25,41,20,45,31,23,48,36,28,35,16,31,38,22,46,26,47,45,24,39,24,18,50,29,21,26,42,22,28,34,14,34,16,50,34,48,11,14
28,34,20,34,12,30,34,12,29,46,40,39,13,29,24,34,27,23,12,21,42,38,16,48,10,40,20,26,40,25,43,11,31,43,29,34,37,40,17,44,23,49,35,38,26,25,22,11,45,35,38
29,49,30,25,37,30,39,34,34,28,24,43,48,29,12,34,41,25,14,24,23,18,38,42,20,32,49,45,26,19,11,36,32,15,28,18,45,28,18,36,12,26,42,19,38,33,19,25,50,31,36
30,39,50,32,35,35,17,39,36,39,30,12,35,34,17,24,19,37,36,22,12,23,26,14,40,48,21,44,44,15,28,32,18,24,11,32,20,16,26,31,44,43,21,35,27,19,32,46,16,20,42
