,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,850,610,620,900,780,890,790,740,710,940,580,970,700,580,640,1000,730,520,680,790,630,660,820,920,730,870,680,960,940,510,790,680,500,760,810,990,680,800,620,830,700,720,630,720,500,860,1000,730,830,900
2,870,920,630,540,900,970,770,870,610,880,670,740,950,870,700,640,890,1000,780,650,710,890,970,830,950,630,630,550,800,680,720,970,690,800,560,530,810,640,680,520,830,810,800,710,540,580,780,530,640,540
3,780,550,550,630,940,710,820,790,870,690,710,890,820,1000,770,530,580,770,990,960,550,930,980,650,970,620,960,640,610,960,990,700,660,650,620,810,990,820,730,990,740,780,810,850,650,980,940,550,760,880
4,890,710,830,870,930,730,560,520,850,740,730,620,550,590,770,920,510,520,510,970,830,780,750,520,790,760,800,940,960,700,710,700,940,970,970,910,570,880,750,990,780,610,840,760,920,640,990,760,790,800
5,670,820,850,670,590,680,870,700,560,570,840,890,580,860,950,930,950,730,720,590,670,960,870,680,770,930,570,690,940,560,890,900,900,960,690,640,690,910,690,530,640,730,500,870,820,820,820,970,620,690
6,860,600,820,850,740,840,950,620,930,990,920,960,840,830,790,550,910,960,930,630,700,570,910,720,1000,750,820,990,1000,900,780,660,530,610,940,520,870,720,570,890,610,900,730,800,580,710,920,600,830,860
7,740,900,700,970,990,600,980,530,790,820,980,630,570,660,670,850,630,790,560,810,520,700,800,760,660,720,870,590,840,880,820,570,970,590,630,910,700,630,970,670,780,920,790,950,840,650,670,910,870,690
8,860,990,830,740,520,580,810,880,550,930,950,850,880,950,990,780,600,650,760,520,920,920,630,780,680,940,610,700,500,550,980,620,890,810,950,830,1000,990,980,910,910,720,510,620,990,640,930,830,760,680
9,580,860,970,950,800,600,690,540,670,910,750,600,740,930,550,650,710,550,880,530,990,540,910,690,620,940,980,710,920,760,700,710,550,560,880,530,820,720,770,690,820,650,580,760,880,750,860,920,850,650
10,520,690,840,620,890,710,870,880,720,980,590,870,640,580,760,930,700,560,780,680,570,690,730,790,940,770,520,760,850,910,510,850,720,510,790,500,810,710,980,840,830,930,590,740,600,940,940,970,730,580
11,720,550,540,880,910,940,680,880,880,950,970,500,750,530,740,670,540,710,920,500,910,920,1000,580,570,670,570,970,670,960,880,590,890,570,560,860,860,600,720,710,950,910,890,870,790,770,690,960,670,930
12,850,650,620,570,550,590,510,750,600,550,840,630,940,780,910,690,580,570,830,560,530,750,550,870,840,840,870,570,600,640,540,890,670,960,930,830,780,890,740,670,840,630,820,660,730,880,990,640,710,840
13,720,700,840,930,560,760,710,970,610,850,780,950,650,550,600,820,850,910,760,560,890,800,950,810,970,720,850,720,600,830,860,710,710,830,580,960,560,650,660,800,990,940,910,810,960,880,800,850,880,820
14,700,530,990,840,990,690,530,790,960,560,870,810,900,860,660,970,810,880,790,580,910,620,620,840,710,580,830,650,560,580,810,990,900,620,610,790,950,840,1000,920,560,520,500,750,510,660,580,700,510,570
15,540,950,650,510,750,910,530,600,810,780,630,720,900,750,1000,720,590,920,630,980,870,750,640,630,990,780,740,780,620,690,580,940,830,650,860,750,850,970,760,600,630,620,690,510,840,990,840,830,980,530
16,790,820,610,960,810,530,620,820,700,930,830,540,820,900,830,550,660,830,780,680,760,880,760,650,690,760,840,640,550,580,620,980,630,830,880,830,520,830,730,960,860,760,940,560,620,850,690,680,940,990
17,730,940,520,860,820,810,770,550,840,610,770,730,560,970,790,880,890,550,630,940,660,810,710,690,730,600,670,560,810,580,550,640,730,920,970,610,920,850,530,860,730,970,540,530,590,940,560,820,940,930
18,510,650,690,850,920,740,780,970,940,630,700,520,820,590,760,580,610,610,600,760,920,570,650,810,660,980,670,960,890,760,890,700,700,590,670,660,680,810,750,540,960,930,550,670,770,610,540,520,560,810
19,600,640,740,850,950,730,980,950,980,850,850,880,980,810,870,730,830,790,780,680,860,840,950,880,530,700,810,740,920,960,980,910,570,970,710,680,550,660,690,640,970,560,640,670,660,730,680,700,780,930
20,590,990,920,700,980,570,610,960,840,770,760,940,750,870,610,760,850,910,730,620,790,600,970,560,620,910,870,760,790,590,740,870,790,860,760,1000,680,600,620,650,860,620,760,820,800,500,670,560,860,500
21,850,850,610,910,810,890,920,730,700,820,730,580,870,550,640,900,960,800,810,900,740,790,710,900,810,590,720,860,560,930,970,790,980,730,600,530,740,980,730,680,650,930,800,540,860,580,710,700,910,520
22,500,820,960,790,860,780,530,680,930,890,570,510,500,650,740,600,820,900,890,710,520,890,700,710,580,560,520,780,940,710,650,720,550,870,780,800,570,670,910,650,630,790,900,770,630,930,530,510,570,930
23,590,650,590,690,990,720,950,760,590,730,900,810,970,970,920,950,920,840,580,550,670,930,920,710,890,1000,610,650,540,650,990,800,560,910,840,760,770,560,510,600,700,850,900,860,680,920,630,530,700,650
24,510,560,650,900,710,850,530,820,970,700,760,500,590,840,880,860,580,1000,990,880,980,560,580,570,770,830,530,1000,880,810,590,870,690,590,960,660,640,760,900,860,910,900,960,690,610,660,680,510,610,820
25,700,580,840,520,640,640,850,740,830,670,700,860,630,720,850,920,860,890,670,780,810,870,820,780,950,690,900,660,570,770,970,840,580,900,800,920,810,910,520,610,940,700,510,870,880,600,630,960,880,990
26,550,710,710,650,690,910,950,520,820,750,900,620,620,970,570,610,560,830,990,920,620,750,670,880,970,940,550,920,760,640,570,840,920,910,800,570,580,970,590,630,540,630,830,500,760,730,740,700,970,710
27,580,540,830,910,650,900,560,920,690,900,670,720,690,890,630,640,690,650,830,730,830,590,900,930,720,770,660,930,650,740,500,940,560,670,530,710,850,770,520,920,550,610,720,810,680,660,950,700,580,660
28,840,650,520,690,870,560,870,630,590,830,570,830,670,850,870,930,510,540,890,640,980,720,1000,900,840,560,740,640,670,610,760,600,870,890,900,640,750,520,750,730,630,970,830,910,580,760,810,840,620,870
29,910,520,510,760,770,830,640,530,620,570,960,860,860,690,550,580,900,710,840,860,730,510,590,720,740,950,690,770,960,800,660,790,940,530,620,700,670,820,920,710,550,940,710,880,940,980,730,950,800,790
30,810,680,550,740,870,910,690,850,960,540,510,760,910,600,530,790,830,790,930,550,930,510,700,960,940,540,860,960,640,700,720,730,880,620,730,960,690,540,850,700,990,720,540,800,800,860,740,840,560,610
