,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,22,40,34,20,32,22,22,36,25,20,26,28,26,39,40,28,25,23,23,33
2,28,28,34,26,33,24,23,32,21,29,39,25,36,27,26,39,33,33,28,22
3,31,34,39,37,20,31,39,29,34,30,30,29,27,28,25,21,25,40,21,28
4,27,30,23,29,25,33,31,23,39,33,30,28,22,36,29,35,32,37,20,24
5,21,22,26,22,20,31,33,31,37,21,24,34,29,27,23,34,39,31,21,35
6,28,29,30,24,26,22,32,23,39,22,29,25,38,35,25,34,25,21,20,26
7,36,26,24,30,25,27,20,30,24,38,32,35,39,26,31,21,33,28,40,22
8,39,33,27,23,30,24,40,22,20,27,31,39,31,28,37,37,34,35,40,27
9,30,28,34,23,28,31,37,31,28,30,24,33,30,34,38,27,26,26,23,31
10,24,32,27,38,30,24,34,35,32,36,23,36,24,40,21,21,36,27,29,22
11,22,23,21,35,31,31,24,29,35,35,28,38,35,21,33,34,20,29,28,25
12,40,36,34,28,35,25,27,29,39,22,33,27,22,23,21,29,40,31,30,40
13,24,27,28,25,30,22,30,40,31,39,33,29,34,21,35,34,30,23,24,26
14,36,21,30,35,36,26,40,36,34,39,38,28,22,40,36,34,28,20,23,23
15,30,28,22,25,33,37,30,23,38,27,26,36,24,29,24,38,32,27,28,38
16,32,39,30,26,38,25,25,23,27,20,35,37,25,34,28,37,35,29,21,28
17,27,34,26,36,23,32,40,25,39,22,40,33,32,38,32,25,38,21,29,35
18,25,27,28,31,25,32,24,21,38,22,33,38,24,39,37,29,30,36,37,28
19,24,26,28,23,33,22,24,34,30,23,40,29,20,28,26,35,38,37,23,22
20,20,23,27,23,40,38,32,35,23,25,20,37,36,36,26,29,31,36,31,24
