"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"1",202,222,100,174,116,253,252,113,261,240,106,146,76,169,247,194,208,242
"2",190,158,243,175,191,243,162,251,248,213,123,65,73,246,181,132,91,264
"3",229,112,107,193,214,120,154,150,94,74,104,152,94,258,264,88,262,220
"4",190,198,130,118,135,91,243,258,98,78,188,129,162,208,110,186,262,223
"5",154,217,156,91,233,191,172,157,202,212,169,173,150,96,210,194,106,221
"6",141,149,234,230,126,113,101,240,138,87,242,189,93,204,184,176,148,140
"7",131,256,147,252,107,112,165,255,71,244,192,168,250,132,177,195,98,105
"8",211,85,124,171,139,115,65,253,217,178,186,87,119,137,82,208,205,223
"9",147,149,214,105,132,131,202,213,81,234,226,202,138,245,148,209,177,152
"10",249,126,145,235,234,92,201,142,106,113,134,90,138,114,239,222,262,205
"11",95,251,145,131,130,222,192,179,183,234,196,106,200,147,72,176,231,160
"12",109,234,78,115,136,221,252,129,80,94,65,177,258,137,185,242,181,132
"13",107,233,91,112,261,150,119,102,207,138,71,122,125,166,168,144,174,241
"14",191,154,101,66,156,128,234,75,86,210,231,79,105,166,147,171,241,80
