"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"1",7,3,4,10,3,8,2,9,2,2,3,3,8,3,7,8
"2",8,1,7,10,10,2,10,10,10,6,5,8,9,5,10,5
"3",10,4,8,10,7,3,5,2,6,2,8,3,2,3,5,3
"4",7,10,3,1,3,9,8,3,1,10,5,10,9,6,5,7
"5",7,4,7,2,5,10,8,6,9,9,2,3,5,3,9,3
"6",10,10,10,1,7,2,4,10,9,2,9,5,8,3,2,5
"7",1,1,1,10,2,6,1,6,6,5,3,7,7,6,7,9
"8",1,10,8,9,8,8,3,2,9,5,2,2,5,5,4,7
"9",1,4,4,1,9,3,8,2,4,1,8,10,3,4,7,8
"10",1,7,4,2,4,9,10,9,8,9,5,3,3,7,9,6
"11",1,4,4,8,1,10,8,5,4,6,2,8,9,10,8,10
"12",1,7,4,6,10,4,10,1,2,10,5,2,6,8,2,4
"13",3,4,10,8,4,9,9,4,5,3,5,8,8,9,5,2
"14",7,1,1,10,4,6,9,9,1,6,6,9,2,2,9,3
"15",4,9,10,8,7,10,2,8,5,6,2,8,3,7,6,8
"16",6,4,5,1,1,1,3,10,5,7,10,6,8,7,3,6
