"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"1",149,221,69,112,201,179,209,183,133,249,79,121,101,262,163,97
"2",139,92,179,112,136,172,183,216,193,151,235,243,206,259,193,70
"3",240,142,86,170,162,82,106,196,124,172,195,238,250,90,140,250
"4",72,112,68,184,95,230,221,128,130,146,212,241,75,151,176,179
"5",109,222,72,90,117,112,74,151,101,181,196,79,117,155,193,238
"6",206,159,241,198,149,146,214,171,207,133,75,224,127,208,249,235
"7",118,185,251,159,119,98,252,204,137,177,208,126,167,110,163,136
"8",105,206,101,196,121,127,174,90,216,258,119,156,212,94,69,126
"9",211,127,154,158,76,214,256,197,221,224,255,147,144,106,219,167
"10",198,109,69,186,69,196,159,243,148,207,176,79,214,245,215,138
"11",237,128,213,232,225,240,202,129,221,204,225,181,183,229,109,147
"12",251,163,175,110,88,107,253,198,104,183,141,143,111,148,185,130
"13",188,142,99,138,248,255,89,142,235,201,188,241,241,75,189,120
"14",109,145,198,122,249,178,230,134,92,192,177,215,239,67,242,208
"15",142,208,147,109,167,88,251,215,130,111,144,148,102,178,166,179
"16",164,81,188,238,105,210,128,136,258,166,124,151,134,136,102,111
