"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"1",233,158,206,171,125,163,240,222,146,116,253,126,119,74,147,191,76,249,198,200,194,181,96,227,246,211
"2",78,109,182,110,131,134,207,170,136,216,261,86,123,174,240,137,125,192,92,238,181,84,227,161,135,230
"3",95,111,69,107,135,76,108,112,221,74,117,172,97,120,75,250,181,177,213,117,102,130,168,250,72,182
"4",258,161,225,76,136,182,118,141,89,108,120,98,87,262,205,263,227,230,262,212,262,129,153,178,72,82
"5",238,107,237,136,131,199,130,221,113,125,107,146,93,104,148,156,117,239,218,197,98,255,195,151,204,133
"6",122,243,168,234,198,213,198,113,247,122,137,210,117,263,172,218,173,109,135,189,101,176,241,134,239,76
"7",188,260,180,100,175,197,157,135,248,244,96,221,87,138,143,117,160,181,223,181,70,209,153,121,218,70
"8",203,203,175,201,211,122,128,198,216,161,117,164,146,198,191,188,74,75,205,70,164,182,227,83,132,85
"9",185,91,234,175,123,109,207,104,145,127,215,125,151,254,209,180,258,242,181,185,152,158,140,66,92,164
"10",91,65,229,261,89,183,235,200,93,168,237,79,80,235,230,147,205,247,148,91,240,176,107,211,106,193
