"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"1",1,1,7,7,7,10,10,10,9,9,5,9,2,3,8,8,2,10,7,4,9
"2",4,10,1,1,3,10,2,2,7,9,10,5,6,9,2,10,5,3,4,2,3
"3",10,4,1,3,10,1,8,8,6,2,7,2,4,2,5,9,7,6,10,4,9
"4",1,10,10,5,7,8,10,10,6,10,9,2,5,2,5,7,4,2,9,7,5
"5",8,4,4,4,3,1,3,2,1,8,2,9,10,6,2,3,7,5,4,7,10
"6",4,4,7,7,10,7,1,8,7,9,7,7,5,1,2,5,8,9,8,9,9
"7",4,7,1,4,1,5,1,2,2,5,5,7,2,6,6,6,6,6,3,3,4
"8",1,1,4,8,10,3,9,4,8,3,9,5,5,2,5,8,5,4,6,4,1
"9",10,1,10,7,6,9,7,10,3,10,5,6,5,6,6,10,8,8,4,3,3
"10",10,9,7,4,7,4,4,10,8,10,1,5,2,6,3,7,5,8,3,3,8
"11",10,10,1,4,7,8,1,10,3,10,10,10,6,6,5,1,8,8,9,9,7
"12",5,7,4,8,3,5,1,4,5,3,9,9,2,5,9,4,2,8,3,2,9
