"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"1",225,91,203,179,233,77,240,147,180,227,200,87,263,250,121,101,156,170,219,189,102
"2",187,170,132,171,81,112,157,172,167,206,76,105,84,242,143,170,212,91,246,196,91
"3",123,202,237,81,136,199,162,244,98,157,220,196,68,183,117,122,150,137,170,70,136
"4",238,112,147,152,110,73,253,135,98,88,102,196,117,133,94,204,116,132,208,256,213
"5",73,175,202,260,234,119,214,79,157,202,263,102,113,165,226,102,192,93,69,219,112
"6",154,107,190,139,88,125,104,97,149,134,203,84,177,118,210,83,161,169,241,168,181
"7",127,162,237,175,92,189,104,225,225,259,129,137,226,71,258,245,204,71,79,67,234
"8",144,185,234,127,112,81,206,154,97,91,161,189,117,196,177,148,259,93,219,202,131
"9",123,238,77,86,71,227,109,217,115,147,247,258,129,178,125,217,241,228,106,261,132
"10",147,148,72,187,110,128,96,207,203,217,158,129,225,178,103,73,153,161,238,91,101
"11",123,76,78,154,149,97,119,146,94,76,183,122,178,178,106,130,168,121,136,160,162
"12",259,167,260,167,120,177,104,95,177,95,216,242,263,130,195,153,209,135,250,102,193
