"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"1",129,138,230,164,296,231,107,263,195,289,164,217,144
"2",103,84,165,251,161,92,131,229,143,237,101,157,230
"3",212,247,282,114,150,240,123,293,256,243,204,201,185
"4",248,292,222,234,244,100,195,209,218,140,101,283,200
"5",94,214,286,136,193,255,181,89,120,104,298,234,127
"6",201,231,98,226,133,205,197,297,276,111,233,271,171
"7",105,168,261,277,291,243,190,176,138,203,157,85,211
"8",231,214,84,127,256,89,196,155,159,194,141,100,263
"9",89,93,282,127,275,191,272,180,108,147,202,228,267
"10",124,173,164,112,264,281,187,283,226,116,173,163,112
"11",104,179,253,261,284,272,200,112,269,213,194,188,117
"12",242,256,255,188,272,98,293,288,268,228,126,284,147
"13",105,161,90,108,213,179,148,158,126,189,129,100,258
