"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"1",35,24,35,52,72,59,19,16,77,34,23,27,38,57,59
"2",23,60,29,23,43,53,53,33,68,25,75,51,19,40,60
"3",52,50,28,26,35,67,68,42,18,34,29,33,69,67,51
"4",43,66,75,20,51,52,51,64,69,75,41,37,35,63,19
"5",40,43,50,52,38,71,65,74,27,47,66,58,39,76,31
"6",57,74,32,27,25,60,49,77,52,47,66,49,15,66,23
"7",39,19,16,38,29,61,42,66,35,52,69,30,29,56,62
"8",47,41,76,16,21,35,66,46,72,22,41,77,17,22,36
"9",16,63,63,53,18,58,33,35,46,73,68,73,34,41,52
"10",25,18,46,16,48,67,37,22,49,62,72,28,43,69,48
"11",30,55,74,24,68,61,65,22,73,28,27,62,74,54,41
"12",39,62,58,46,20,26,53,76,76,18,41,40,34,18,52
"13",36,72,17,54,21,52,16,76,20,66,71,59,53,32,53
"14",67,55,74,18,28,67,69,50,16,44,41,21,17,61,35
"15",71,32,18,30,17,48,43,16,25,37,25,46,38,58,38
