"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"1",221,446,620,792,663,728,665,435,817,663,580,612,639,608,778
"2",692,965,245,599,979,827,819,871,998,470,286,983,291,464,544
"3",843,902,925,383,551,373,826,518,959,830,615,734,337,577,929
"4",327,745,985,611,240,890,682,426,509,295,246,475,201,369,592
"5",911,654,765,668,356,820,651,839,816,703,874,783,694,902,626
"6",680,712,649,608,900,319,753,697,999,611,236,914,405,946,279
"7",883,809,461,260,205,659,483,291,515,947,651,667,457,701,726
"8",599,340,576,909,258,511,945,658,515,617,888,802,383,572,484
"9",955,953,821,800,235,643,308,785,478,929,939,656,753,992,952
"10",592,779,458,375,325,440,636,200,428,200,261,844,506,820,932
"11",715,690,771,656,477,822,953,287,220,552,710,465,719,323,342
"12",261,804,865,525,712,427,385,226,466,621,656,315,322,374,412
"13",884,666,788,831,264,619,548,733,536,474,286,668,349,234,648
"14",706,637,657,460,726,834,394,590,812,786,432,719,938,372,631
"15",202,762,816,368,637,315,506,877,528,791,503,488,452,642,567
