"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70"
"1",17,15,26,8,29,15,9,26,16,29,22,27,11,10,12,18,8,29,11,19,17,22,8,26,17,27,13,13,28,7,14,21,22,28,13,28,29,30,20,14,25,24,21,25,12,27,23,13,8,19,28,11,28,17,23,11,9,29,10,12,13,28,25,14,21,14,29,22,25,24
"2",18,29,15,26,9,25,27,24,28,21,24,11,8,14,14,26,21,24,30,8,23,28,23,8,15,20,9,26,14,26,18,12,8,18,15,8,21,9,11,22,26,14,29,7,26,27,23,17,19,27,13,11,8,11,10,22,23,8,19,17,15,16,13,9,8,16,21,21,14,13
"3",28,13,26,24,21,28,11,13,9,16,21,19,18,10,28,15,16,21,17,27,13,28,27,9,16,28,21,12,8,28,9,25,27,10,16,18,23,21,22,25,14,27,8,27,26,29,14,20,29,13,13,28,27,27,14,11,15,28,17,10,22,11,7,8,29,27,22,13,12,7
"4",21,21,19,20,29,23,9,17,17,17,16,17,9,25,18,9,14,25,17,25,8,20,16,25,16,26,9,20,19,26,16,26,10,23,11,21,16,18,10,23,11,27,26,8,29,7,24,23,14,26,13,23,19,19,19,18,23,24,27,16,10,11,27,29,16,8,21,12,16,22
"5",27,8,8,13,16,7,15,29,16,29,16,25,15,15,27,19,23,12,21,15,14,19,11,17,8,12,14,18,7,11,28,9,25,9,18,25,7,22,9,20,15,7,14,26,18,29,30,29,12,13,20,10,23,20,14,14,23,19,8,12,24,21,27,18,29,23,27,11,27,18
"6",9,15,28,25,20,13,24,25,15,12,29,21,22,14,24,12,20,24,15,24,28,15,22,26,11,17,10,21,29,16,8,16,10,19,12,16,14,7,21,20,24,15,16,9,12,24,16,24,19,13,29,25,8,28,26,10,9,7,28,21,21,14,17,15,17,18,24,12,18,9
"7",17,21,8,9,8,10,10,27,17,13,10,30,12,9,8,26,25,24,19,7,13,27,18,25,13,27,25,22,9,29,22,25,25,12,30,11,18,22,23,15,19,19,15,14,13,8,17,24,23,29,21,15,29,18,26,19,19,15,25,13,21,21,22,27,9,10,24,23,27,10
"8",27,17,9,26,8,20,16,9,27,7,13,9,20,8,19,18,13,20,12,15,10,19,7,14,29,29,21,11,8,23,20,30,23,7,29,16,20,18,17,13,12,8,16,19,20,14,30,27,28,16,16,15,25,26,24,8,25,9,17,12,29,19,15,24,18,23,12,18,13,23
"9",25,18,17,16,14,8,22,29,19,29,24,16,22,17,26,25,12,9,8,9,20,21,10,18,11,15,14,19,14,16,25,10,18,26,17,15,9,29,17,18,25,22,26,15,28,11,25,19,7,16,14,25,11,23,19,22,29,15,15,7,8,18,17,25,9,10,20,23,24,14
"10",16,30,22,26,8,14,13,19,30,18,23,14,17,27,15,27,21,25,15,23,20,29,7,8,25,14,14,11,8,7,17,25,29,24,16,27,27,27,24,22,27,8,19,24,17,28,8,20,27,21,19,9,9,21,9,27,19,8,25,13,23,26,13,17,10,21,17,24,21,29
"11",13,21,14,26,13,10,19,15,29,21,11,10,10,16,12,21,21,16,22,26,28,21,22,9,21,21,22,10,16,27,21,17,15,20,7,10,12,28,9,8,22,30,27,17,8,26,18,28,21,16,24,15,20,12,10,8,24,24,16,19,26,11,9,28,11,22,13,27,16,20
"12",26,24,8,22,12,25,10,15,12,18,29,15,11,12,11,12,22,27,23,15,10,8,16,12,15,9,17,28,13,18,23,20,19,10,16,19,18,20,15,11,25,9,8,9,29,28,15,11,16,24,16,15,9,11,27,15,17,15,26,9,10,14,25,27,24,22,10,20,28,14
