"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1",385,397,432,576,730,459,572,427,619,722,473,564,400,773,462,683,573,793,359,656,400,601,503,408,502,262,273,450,594,239
"2",775,716,611,480,602,677,477,347,670,662,295,538,792,790,705,637,623,739,410,446,278,755,669,714,571,662,598,476,461,309
"3",377,282,459,794,365,227,589,443,421,684,428,337,710,748,341,290,738,448,209,587,483,405,377,335,349,411,663,224,772,652
"4",463,483,293,249,464,487,463,465,662,271,244,715,738,471,664,409,497,487,302,286,666,592,649,454,773,623,320,676,667,696
"5",568,761,403,580,639,575,443,556,774,245,474,415,584,731,797,505,417,719,788,720,445,648,799,739,421,685,648,216,355,216
"6",606,268,306,798,440,354,237,671,213,522,426,419,567,538,324,546,541,411,403,760,405,474,773,412,753,657,371,303,680,209
"7",532,610,613,410,504,732,630,480,361,366,563,725,578,318,522,445,450,500,328,723,626,523,350,784,332,725,523,224,414,627
"8",296,582,426,590,357,693,709,607,460,552,235,612,637,551,733,242,528,606,274,459,337,393,720,314,661,372,303,458,472,710
"9",611,283,391,492,203,268,216,335,328,701,259,539,620,345,582,207,336,464,698,353,583,731,543,394,493,463,753,454,450,783
"10",237,371,650,585,348,385,414,488,416,291,483,741,333,498,514,225,676,435,232,364,262,649,750,316,798,745,580,697,622,220
"11",237,622,740,659,708,211,422,488,453,472,666,559,380,482,655,553,506,729,420,733,529,235,207,404,790,748,407,511,588,453
"12",244,751,718,227,350,580,559,470,528,224,643,799,236,757,344,534,287,341,598,422,313,219,357,397,268,421,448,737,353,464
"13",615,370,434,529,559,632,232,566,469,349,249,286,466,372,280,724,270,675,335,766,236,404,729,636,540,252,502,706,745,637
"14",214,449,670,797,523,473,301,625,514,693,327,321,661,252,650,423,313,257,569,363,421,416,713,439,607,366,583,428,289,412
"15",312,697,590,504,363,619,684,448,499,374,492,654,774,255,703,392,762,792,534,289,336,545,378,661,702,476,226,443,510,666
"16",216,610,570,379,416,341,393,495,781,353,294,779,224,393,586,335,470,753,444,275,703,484,386,419,675,584,382,301,627,319
"17",229,414,509,635,239,528,250,464,458,220,602,489,643,517,481,673,516,479,660,295,239,566,347,413,790,666,502,794,290,460
"18",504,579,450,296,800,223,227,343,761,738,744,478,283,650,775,796,649,412,319,579,696,706,478,485,387,520,674,480,546,553
"19",433,448,515,540,257,413,358,690,258,379,322,672,463,772,460,403,534,318,542,241,549,551,636,500,304,519,595,269,797,278
"20",556,650,521,545,541,367,475,209,260,725,725,485,473,283,777,319,599,609,750,627,682,748,760,622,748,682,761,426,621,544
"21",346,478,576,499,362,273,571,446,301,382,335,621,265,297,434,436,672,423,404,701,757,734,237,626,393,446,708,495,769,402
"22",797,674,224,292,286,470,383,535,729,520,622,712,676,422,249,287,474,728,251,636,448,203,271,405,289,642,292,245,453,522
"23",545,226,388,235,307,476,263,443,451,245,649,240,723,405,469,286,317,743,372,400,389,798,707,533,542,763,512,245,614,296
"24",505,212,324,435,312,226,669,551,457,653,481,645,386,704,404,467,654,465,724,618,328,403,335,743,483,766,774,681,455,668
"25",462,532,448,563,439,489,368,689,359,380,461,534,455,673,420,226,241,727,660,357,284,536,366,447,795,333,598,696,789,732
"26",638,651,393,364,419,602,585,371,490,658,484,738,473,526,403,651,450,399,721,698,757,363,282,675,331,774,215,342,599,467
"27",794,387,544,380,226,635,245,618,295,454,433,671,205,568,642,217,655,481,627,292,732,518,335,691,535,452,203,331,565,339
"28",352,655,726,528,648,576,608,467,652,394,267,404,377,255,664,694,210,488,755,796,267,762,538,639,507,694,273,383,359,457
"29",407,522,562,354,253,676,365,665,244,465,770,398,724,669,637,674,537,371,774,533,548,608,368,770,314,622,281,445,341,511
"30",426,565,307,482,426,606,627,507,415,659,755,607,680,565,360,626,721,749,792,418,303,495,525,255,202,413,440,627,756,652
