"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"1",395,691,499,733,337,408,298,792,764,770,515,543,442,357,298,627,418,374,796,323,713,625,781,511,229,201,220,477,501,487,654,492,235,361,796,492,740,727,662,799,596,649,577,284,457,512,729,350,677,405
"2",797,480,739,600,620,544,514,202,782,350,395,800,698,223,278,684,214,403,326,373,558,558,239,248,774,674,798,597,708,593,371,565,446,640,728,457,410,705,641,656,503,341,427,214,682,675,425,793,613,651
"3",752,423,658,464,658,448,419,570,705,476,630,522,628,220,419,251,597,452,361,488,505,484,417,529,714,619,694,788,601,633,648,547,224,288,393,540,389,560,381,699,200,775,537,366,487,523,332,321,761,378
"4",299,446,627,336,363,463,582,437,728,618,786,784,557,652,449,429,616,695,393,508,756,607,661,715,429,295,497,227,466,387,560,710,302,419,294,239,640,310,744,315,425,395,586,236,378,393,229,500,311,414
"5",429,450,472,221,646,252,501,313,607,441,564,314,431,282,689,762,336,539,378,335,578,721,586,263,604,388,788,417,380,580,510,609,597,238,381,691,640,655,305,389,790,709,487,355,652,756,488,228,381,280
"6",604,794,504,431,404,254,785,500,489,526,670,281,691,564,651,278,507,230,712,349,215,642,416,609,471,492,740,271,487,462,679,628,343,235,212,759,232,311,210,701,364,282,394,214,523,392,711,380,365,388
"7",771,220,251,503,682,533,529,725,397,420,781,305,279,323,485,518,772,726,671,240,679,523,759,490,231,237,237,667,269,592,419,669,593,742,654,493,668,304,451,261,391,527,534,602,344,435,208,282,353,402
"8",712,676,694,313,618,771,727,630,598,389,357,342,677,307,426,353,421,443,681,557,429,391,419,314,624,569,232,552,610,584,364,569,509,649,561,422,469,557,469,581,215,532,776,237,582,410,355,661,259,676
"9",449,446,746,410,672,525,654,566,214,213,421,439,798,287,461,569,583,294,323,759,312,303,606,471,463,264,583,300,336,349,235,797,274,277,233,208,270,266,479,496,298,424,579,419,344,608,273,756,800,499
"10",286,270,381,431,532,697,759,361,302,572,506,669,320,329,799,310,240,658,601,500,772,493,780,369,308,225,560,263,525,219,652,724,237,742,613,506,204,383,339,758,368,664,215,549,446,796,571,522,692,561
"11",233,262,364,291,434,411,409,520,758,211,475,282,488,583,720,528,583,548,365,396,537,436,582,342,510,284,766,577,228,216,690,277,579,501,711,396,519,266,288,205,377,340,255,327,344,295,307,769,537,631
"12",463,311,624,760,498,361,765,564,762,399,746,503,624,500,489,757,482,317,437,255,613,343,554,653,529,278,307,347,322,247,674,677,221,482,499,669,413,264,563,698,769,559,668,328,378,790,511,734,711,703
"13",213,339,628,211,777,369,382,232,435,575,377,476,662,745,468,572,342,282,371,290,499,734,735,354,706,760,494,438,432,534,536,233,211,744,607,673,665,361,659,463,523,509,776,327,694,690,765,449,649,560
"14",797,699,441,513,573,771,313,678,434,582,797,391,568,221,481,212,547,493,643,670,283,295,654,258,422,228,492,215,634,753,421,379,715,617,722,642,386,621,225,478,321,315,502,650,414,376,783,731,275,336
