"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1",546,654,507,489,314,557,753,459,373,325,277,428,533,366,296,400,487,343,785,381
"2",455,603,638,200,381,768,483,600,658,635,278,388,578,533,686,260,229,245,424,516
"3",577,629,668,615,724,736,755,791,313,561,414,404,773,323,436,459,343,678,300,303
"4",446,368,782,345,330,497,362,506,673,316,592,751,502,503,610,443,236,393,530,399
"5",230,585,396,342,347,501,239,775,434,362,589,436,211,570,364,356,796,402,321,736
"6",759,463,754,738,397,260,770,697,331,424,344,724,379,653,711,545,563,677,317,458
"7",210,360,739,381,640,502,734,242,693,239,682,369,539,360,437,355,638,324,517,300
"8",493,352,410,278,772,510,415,393,714,342,403,294,269,378,729,352,303,605,635,209
"9",412,735,583,518,640,260,205,466,557,652,410,726,490,333,431,332,687,610,584,639
"10",694,484,659,570,503,311,756,734,796,383,701,794,208,584,635,691,535,654,682,436
"11",552,684,573,672,432,449,799,689,444,657,713,722,421,266,396,385,618,425,637,626
"12",712,523,482,201,781,759,445,284,559,552,467,329,291,650,544,238,423,762,481,619
"13",521,749,542,309,385,605,505,425,528,519,436,527,468,487,479,544,294,511,489,410
"14",209,403,677,227,511,547,312,613,254,424,625,639,686,234,346,757,240,281,790,481
"15",564,243,752,512,768,292,396,717,383,771,553,266,759,637,693,540,560,223,456,783
"16",655,341,691,394,237,657,647,592,211,485,518,412,637,216,312,255,540,220,312,256
"17",438,723,353,739,499,773,558,263,285,521,283,223,263,799,777,491,743,409,672,371
"18",237,242,248,723,239,618,782,260,223,271,397,233,601,314,455,226,412,257,744,525
"19",599,646,212,409,407,545,210,376,322,365,207,538,592,358,630,761,766,250,470,574
"20",568,371,284,562,571,200,467,303,641,369,274,406,456,771,306,617,661,424,471,455
