"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1",35,18,19,28,39,39,36,35,14,25,16,28,12,11,11,33,26,28,10,34,28,37,22,29,38,37,13,20,34,17
"2",23,34,39,14,11,15,25,28,30,27,27,32,13,23,26,35,18,39,37,11,12,20,37,31,28,16,39,19,12,33
"3",20,29,16,21,35,35,35,21,21,26,37,12,17,39,29,24,19,34,14,39,20,9,19,11,36,27,29,17,33,20
"4",32,16,31,24,33,20,34,34,26,18,13,39,19,19,22,32,29,24,15,34,14,18,33,35,26,35,34,32,23,27
"5",38,36,30,23,20,23,27,12,34,39,27,16,33,31,10,26,11,16,26,17,22,20,27,20,15,38,37,34,16,29
"6",19,37,12,16,29,19,32,9,10,10,32,12,27,38,25,34,10,20,37,19,22,29,22,31,36,36,22,29,24,10
"7",39,23,22,17,18,27,12,17,18,16,19,28,28,25,34,21,17,38,18,28,39,27,24,16,22,38,15,23,23,15
"8",28,28,29,22,22,22,17,29,24,33,24,23,27,27,34,38,13,23,18,29,10,13,13,21,13,23,37,30,26,22
"9",18,34,19,22,12,15,33,10,29,28,11,39,18,32,21,24,35,30,10,32,26,39,37,22,32,28,33,38,29,34
"10",39,10,36,30,12,15,38,23,36,27,26,12,11,9,18,19,13,14,31,17,16,20,19,21,28,37,17,28,29,10
"11",28,38,34,33,16,38,32,36,28,14,10,22,18,26,10,27,36,14,12,20,21,19,10,39,14,34,11,35,29,14
"12",38,35,28,19,19,28,19,30,28,24,32,10,34,29,37,11,26,12,17,20,25,27,22,37,20,22,33,13,27,31
"13",36,24,15,34,29,39,28,16,32,37,32,26,32,19,34,17,33,12,20,36,18,31,22,16,20,12,33,25,34,30
"14",23,24,36,33,20,36,27,13,32,26,26,13,18,31,20,14,11,10,26,9,34,23,31,36,20,22,31,34,27,30
"15",25,31,33,19,31,14,30,11,38,13,14,39,31,18,11,17,38,33,32,27,10,16,37,34,38,13,14,17,28,24
"16",14,24,25,25,14,15,20,17,25,37,28,27,29,31,36,17,9,37,19,15,16,22,37,11,23,30,33,17,11,26
"17",26,23,37,38,15,18,38,12,34,27,35,29,14,19,36,34,15,36,14,13,36,26,24,32,27,32,27,16,14,11
"18",18,38,17,26,28,19,13,14,38,29,30,29,33,10,39,20,10,11,13,25,18,33,22,15,29,32,17,26,19,31
"19",18,20,19,10,31,12,24,18,14,14,22,35,38,38,12,35,31,21,10,28,35,35,16,24,39,15,10,33,33,13
"20",18,26,33,30,27,25,14,32,23,15,24,24,21,14,32,20,15,25,17,20,17,39,27,14,24,18,34,21,22,14
"21",23,28,28,29,21,21,22,15,14,32,29,38,26,39,36,29,29,15,13,26,32,34,39,24,22,10,16,38,23,31
"22",12,39,30,13,17,12,28,35,12,38,37,17,17,25,38,17,32,35,17,34,26,39,29,29,21,18,39,27,31,29
"23",32,36,24,14,33,14,14,22,20,33,27,13,28,33,12,23,16,28,18,13,15,24,19,39,30,36,25,35,27,37
"24",36,20,17,17,14,36,14,17,25,34,14,26,9,21,22,38,16,37,11,25,28,27,11,37,36,31,18,17,18,25
"25",18,27,19,36,34,22,20,20,30,33,12,27,34,33,15,29,12,30,16,29,35,14,18,19,26,33,36,11,16,28
"26",25,36,36,10,31,34,26,31,22,36,17,16,34,26,11,16,36,19,33,23,21,21,37,38,17,26,34,31,12,19
"27",37,15,38,37,28,13,36,16,20,28,23,31,20,36,17,12,14,35,19,38,19,16,29,25,33,24,34,38,25,18
"28",34,25,30,32,31,23,15,19,20,16,19,19,23,22,34,27,28,17,34,21,10,39,21,32,12,25,30,11,31,26
"29",21,10,14,27,11,22,34,26,22,36,17,11,36,32,20,36,16,12,18,11,22,29,22,17,18,37,20,22,30,30
"30",10,12,13,37,17,17,34,35,27,16,26,14,34,12,31,39,37,20,24,27,31,30,15,19,20,19,33,38,33,18
