"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",17692,17913,12051,13183,15429,12255,10459,21751,14515,21097,21064,13596,18039,16594,8376,9459,13244,17909,23533,8574,8470,10512,7746,21213,15374,12070,22532,25167,13577,14575,16948,14588,25295,8744,9544,19505,23260,17765,22239,21334,24330,15739,18206,24490,7279,19255,11263,19984,21799,23235,23610,23684,6970,23886,24119,13069,14630,17517,14873,11242,11913,21865,19861,11696,8574,11701,23479,17566,7827,12574,23164,21678,19051,8059,8525,12104,21948,15905,11390,23497,9686,8615,6916,16856,22080,25128,21197,20211,22854,17268,21588,6884,13081,18396,9883,25351,21213,13302,18396,7285
"2",7904,10914,21535,24093,15805,12283,14263,14294,24459,7932,9787,11309,17713,16539,19717,20657,24060,23275,16606,19922,16177,11554,10962,14330,17408,15444,24749,14137,12715,20033,21822,17866,7625,24835,22503,16740,14595,9866,15745,22241,6736,22913,16914,23591,13500,9526,8025,23453,24355,6738,6967,10876,13717,6973,23674,22030,14705,24117,13434,18573,20308,25383,23130,23652,16452,13028,15581,15584,22692,12133,23463,24617,8072,20566,10848,14425,15956,17579,6683,17962,21185,13354,23801,7149,9685,18909,7465,13657,25118,8167,10397,11161,11742,7318,18372,14739,8878,24691,18674,11755
"3",13550,7465,19730,7526,16205,21769,7531,24464,19202,13185,25200,13828,8676,14950,9816,12400,15719,15394,7598,9918,22545,10967,14864,9017,23594,12707,14217,11577,21708,12337,20994,25264,11593,15703,25522,7497,9038,9253,15289,19386,12743,21143,15314,20887,15300,21855,11698,9601,20889,8290,7447,20903,15999,18280,12167,20103,12992,19826,18043,18320,19443,23164,10134,18656,19868,8513,21687,22812,16420,23811,13119,20118,22832,7131,9678,22832,19104,16846,6901,11420,21605,8627,8251,12249,11873,11072,7112,20183,15641,21214,24678,19149,17263,25116,12638,6633,18899,19805,9178,20026
"4",23038,22469,7917,10704,14525,21549,9778,23549,7545,18462,19740,14278,7179,22633,20658,15473,10728,21276,24257,13210,19168,12457,12356,7207,18127,25161,9023,6986,21000,16546,10186,12701,10554,15263,17407,16299,14240,7236,12357,18230,24705,25462,19270,9068,9157,22695,16242,12113,23987,12158,17518,19393,13416,11937,18554,13962,11499,21856,14710,17153,21852,9986,13689,19039,24996,16778,17539,22065,17533,11123,6576,11443,23480,25432,8812,22415,20570,9924,15928,14656,15877,13345,15888,13347,12911,17581,7805,12567,13093,17564,15165,22103,19820,20188,23775,21249,18380,8890,19348,19350
"5",12307,6823,7177,18435,19939,11277,17499,14563,21278,22200,14952,25494,23576,15456,21271,19125,17863,16977,19186,14325,11953,21490,9279,9053,10969,22505,18721,19279,25292,8760,23242,10538,12344,7466,10530,16921,11598,14182,24133,19230,8799,19981,7284,24737,10650,13807,14707,20305,18252,15223,9981,13423,10183,11534,14823,21133,22065,8293,11912,18975,22760,16072,22060,14129,18982,20337,18998,11445,12889,11198,25419,7820,16791,11417,14401,8932,14770,11954,8621,20227,6871,10045,11866,23391,15908,16898,18694,11741,12636,21217,23402,17263,22121,15647,13995,10382,14750,11837,20865,10633
"6",22589,9339,19945,8443,16577,18455,16586,12775,18467,8674,19591,12466,22628,18879,21279,9816,17882,10945,21492,10484,21488,12062,20678,13190,22157,23289,10682,6706,8746,20023,16496,8725,21843,19622,24756,22253,15521,12464,15080,25485,22226,12746,22459,16759,17818,9520,8095,11710,20975,12537,16756,8324,9081,19014,14862,18257,16355,17152,18276,13940,6568,21678,7384,11699,18604,11403,18323,10318,20331,24876,7797,18654,23703,24767,24597,17977,17585,16100,23412,21194,15137,24627,24208,7790,10433,23755,8620,21578,23090,8630,8130,16371,12181,12869,12854,20174,18904,9116,19801,22098
"7",13865,17276,17938,7183,9783,14054,8670,19219,18849,22201,11503,24293,24290,13224,21080,6421,16961,14558,21072,20654,15458,19910,20455,24059,10285,25530,19551,15822,10508,12826,8371,25468,20040,15260,24369,13477,13517,13789,25510,13259,19643,20761,17531,18709,15515,24708,11981,9602,23910,24723,23611,9225,24124,11634,9071,15765,13737,25025,18283,15604,11497,20511,9607,10825,16787,25376,14457,23918,10834,9465,9674,19072,15556,18099,8830,10071,17219,11776,23064,25052,12686,11851,17051,22087,20868,20831,11169,16140,24678,16880,8138,10751,20238,19341,23795,8143,14011,11827,6853,8819
"8",17890,12061,22218,18171,15427,14063,19536,16168,13537,23317,10806,24816,23280,22989,12081,25560,15817,10749,12839,12478,16551,10742,21374,24791,13762,9731,16968,15042,18532,17870,17798,22276,16860,13249,20002,15500,23582,20020,8166,6771,12379,16706,22908,22254,20959,8485,23604,13741,24503,16003,16455,18710,9290,25388,21798,10359,17290,14469,19363,8558,20539,23364,14465,23186,10825,7004,23177,14654,10851,14440,23815,22083,18303,11768,24636,6912,16857,13643,9157,24177,7117,22325,19774,14948,14415,15109,7350,6677,20854,17124,15692,24230,24683,23403,10003,14756,16121,8886,22360,21012
"9",18450,6782,24082,23574,21765,21301,9433,15338,8475,11570,6449,10299,17496,7834,23298,22993,6465,14586,15257,14087,11325,25531,10671,23268,19671,21926,16949,19470,19248,11222,20410,6477,11612,9068,25253,8795,20062,19996,16759,16251,20762,6999,19001,6529,22696,25064,19241,7263,10195,11934,18940,7837,17292,11954,11093,24575,23898,8558,23877,18078,23487,18304,23654,13926,11954,13054,21684,20330,19438,11074,7030,10823,18099,15190,13007,20149,17579,17954,18877,22837,7337,7336,9667,25095,24200,7350,14903,9657,14757,13079,14741,10390,9851,9106,24236,7076,11377,17092,20856,21774
"10",7679,24464,21541,10487,17432,8479,6425,25194,6818,22544,24048,9831,14092,23533,15441,7594,9059,15035,20424,25494,15477,16496,12442,8315,19288,15260,17409,17762,9038,12494,16262,22284,7228,18526,14597,7507,6477,12344,15074,15300,20731,9070,18702,17281,19464,17513,8546,6591,8355,16880,16397,23684,14481,9962,13961,9608,12155,22759,11872,19850,19085,6933,15941,19426,12937,10195,11653,8307,13019,7037,20114,11650,24174,12899,24192,20231,10376,17579,7365,20148,11793,23844,22855,24868,21601,20834,12921,15852,7334,24897,17115,16135,24235,18696,7764,16866,12875,20181,12649,12531
"11",18451,18141,11301,9402,15339,19939,16198,8672,14299,17049,17033,19221,16657,12848,7564,22625,7936,13221,17443,18779,7726,22170,15000,8691,22546,11959,8755,16287,15031,14209,21822,9046,20405,19513,7602,8351,6774,9261,24545,13253,6488,10207,9274,6769,9251,20395,13516,14637,16847,6762,10198,6521,12760,15317,17731,11030,20278,17357,11637,20755,8869,13221,10367,17290,18034,20973,23437,12132,15573,22062,14465,11476,8826,23928,11434,14025,12889,16811,11651,12672,24639,13360,21210,15114,21959,18362,13089,19139,11803,24888,8903,9886,20620,15120,8140,17237,17630,21612,22132,20740
"12",18144,7157,23573,17023,16202,22216,9811,21088,15343,22591,10694,10492,9423,11345,15401,14118,18417,23505,8723,15777,10521,22527,13189,20680,15491,10280,8372,22265,20406,16489,9485,23276,21713,15723,12062,21843,6534,15079,15753,7283,16994,11994,18481,12397,19980,12543,16906,20970,21409,21648,7990,15572,18038,7049,13062,10311,15599,12440,9239,7835,21628,21627,22101,10072,23174,23188,19885,11890,23739,24994,15193,8307,21140,12892,25092,20919,8026,18881,15671,8949,9618,8026,12902,23851,18007,23077,12246,21992,7777,21230,21604,9875,21588,13103,20167,23409,20244,17095,9110,10592
"13",24841,19188,7916,9427,16656,13181,10929,21742,15779,18838,15325,12266,10702,12094,23029,13168,19196,16554,20657,12822,18534,18767,24525,8746,19190,21813,13752,15250,15026,15705,22608,23266,16255,21461,23581,24764,7613,14619,20747,16251,15868,8422,25283,16911,10196,17404,11042,15323,11481,11040,18453,15313,19380,8021,13444,15618,24568,8337,9995,13950,13950,8117,8866,11927,23191,15205,13710,13927,12947,6579,11434,10340,22432,8304,23466,11093,10110,24589,7820,20806,13346,11638,21929,21173,14793,14393,6446,22879,20051,25110,18853,8180,21221,10782,14376,23413,9866,25366,9643,11444
"14",18752,22656,20417,16653,8955,7648,9354,18167,6436,23022,15775,6824,21053,8007,8468,7726,20659,20985,21424,10521,10749,18028,18248,16623,15482,22504,19849,14581,20014,14233,11034,15729,12348,9710,16485,25405,15517,21392,22467,18203,16465,8778,7511,8411,11104,14263,14185,24495,18477,15771,23981,19986,10125,18567,19617,24935,18273,16375,10366,23735,15605,22444,11107,17179,12575,18073,21144,23465,17781,22091,13675,16802,11397,13343,17817,23739,13654,23804,18326,25335,11185,16077,14045,17259,23781,15859,17781,21225,16873,21603,8150,20185,9649,15647,13097,13622,19113,25369,9868,16157
