"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1",33,35,18,19,13,11,11,28,12,30,23,22,10,19,28,9,10,29,22,32,35,34,29,22,34,24,14,21,27,20,26,34,13,6,25,9,27,32,14,24
"2",18,16,30,16,20,5,7,17,34,28,34,12,35,23,24,10,18,29,15,14,24,8,34,26,35,33,27,6,17,19,14,35,26,32,16,23,6,11,13,34
"3",22,34,9,27,22,8,8,17,15,11,29,30,8,30,10,9,26,30,17,16,34,18,33,15,34,35,32,13,20,30,31,32,10,23,21,29,8,14,20,16
"4",5,18,14,28,17,15,13,27,30,8,22,26,21,16,23,5,23,21,10,30,31,22,12,21,34,22,26,11,15,30,5,21,6,11,24,6,11,7,28,26
"5",32,34,10,35,24,9,12,22,18,26,32,31,31,13,9,14,16,22,23,26,33,26,12,32,33,24,30,31,29,18,35,35,28,23,13,8,13,26,30,8
"6",10,7,20,27,10,22,15,33,29,29,21,9,28,32,23,20,32,34,29,26,35,10,20,22,16,11,6,26,35,23,7,29,35,19,12,21,28,8,14,9
"7",16,30,29,12,13,11,6,25,22,7,9,16,22,16,29,8,17,15,34,19,7,15,23,7,16,22,20,31,16,12,5,31,28,32,32,22,8,18,18,11
"8",16,25,24,23,9,24,26,16,22,30,26,6,35,22,18,7,17,30,5,30,15,33,11,27,22,16,5,11,17,31,19,17,14,27,22,6,22,34,35,18
"9",33,31,5,9,12,29,33,29,19,6,33,12,28,30,23,31,24,23,24,34,20,22,12,13,26,13,13,5,25,31,34,35,10,25,30,25,10,27,11,34
"10",9,14,12,18,21,19,10,23,15,17,22,20,17,34,30,5,13,16,34,15,8,25,17,6,16,34,34,34,24,8,33,12,9,21,26,31,23,24,16,22
"11",20,21,7,22,16,22,33,28,13,17,5,21,7,18,7,32,24,27,24,24,11,26,13,20,25,9,35,35,23,32,8,29,14,11,24,20,29,22,9,21
"12",11,11,22,23,27,29,5,30,17,6,8,17,15,34,32,34,28,26,27,5,27,35,31,19,18,22,28,13,21,32,31,21,12,11,10,6,32,14,10,33
"13",32,24,27,19,35,22,13,8,16,8,6,34,30,28,25,34,16,8,11,9,20,13,17,23,28,12,23,15,20,20,26,30,27,24,22,5,12,29,28,27
"14",21,24,20,30,17,10,9,34,25,15,7,17,11,25,21,5,6,27,28,32,24,15,24,20,33,31,5,30,14,7,9,30,33,22,21,10,28,9,11,28
"15",30,18,27,30,29,11,13,13,33,29,7,32,12,7,8,14,30,20,19,9,15,23,5,19,15,34,28,13,9,18,34,21,5,7,31,20,23,18,14,35
"16",34,24,21,27,34,28,27,25,26,11,11,28,33,29,11,9,31,25,20,16,25,33,10,6,5,7,13,5,32,6,27,16,23,22,29,33,15,31,28,7
"17",17,9,14,26,12,8,13,16,21,29,34,20,7,12,17,6,19,6,13,8,32,30,32,34,32,23,5,10,31,27,17,7,26,33,26,8,30,29,16,13
"18",31,27,24,27,19,10,9,30,27,34,14,26,18,10,23,26,21,35,14,6,18,22,20,33,32,28,10,9,8,11,30,33,18,28,20,35,7,32,20,25
"19",6,18,28,30,12,24,12,17,5,18,13,27,30,23,25,6,9,11,33,15,5,11,19,32,20,27,30,23,16,27,8,26,14,24,14,22,20,7,21,7
"20",30,19,31,33,32,23,11,16,10,23,10,7,11,15,30,7,27,28,14,33,30,31,31,24,13,31,34,33,16,24,21,26,6,18,7,8,15,16,26,22
