"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1",607,1100,981,1147,1092,660,690,945,1000,799,1097,665,695,876,649,890,1189,973,635,531,977,558,1198,1088,999,765,829,1187,936,1114,1003,1176,734,709,761,528,591,1196,820,467
"2",863,641,681,1163,744,688,501,848,871,975,1107,1140,1075,789,622,1165,623,990,441,830,780,1156,957,422,1029,717,703,938,420,590,748,1081,671,1149,776,837,1014,971,632,1048
"3",781,475,712,1071,1063,635,942,992,972,458,815,880,881,1124,656,534,474,1155,717,1148,733,668,623,853,873,1056,463,810,1164,495,652,1151,1191,453,852,441,488,650,628,1061
"4",539,874,502,1047,781,462,787,724,778,756,1101,1055,1188,1179,774,1011,414,736,996,702,855,736,1075,1006,933,1001,942,1195,1063,824,1195,1130,992,468,693,1065,620,698,671,568
"5",1114,1156,513,1081,526,426,1158,450,957,632,548,519,979,849,534,531,1152,898,1161,725,891,517,725,967,1159,668,654,426,1010,798,486,449,587,1146,711,562,522,887,426,1156
"6",733,565,1183,1097,438,1075,694,973,616,431,984,1142,1049,1040,791,576,997,1171,1009,681,1054,507,455,639,1015,1095,988,568,448,707,400,712,779,571,822,848,1041,915,467,484
"7",782,871,847,459,1032,808,1093,535,753,728,886,1048,945,1139,1164,1144,660,722,648,625,518,618,925,768,1085,712,948,1113,1024,505,961,1170,610,979,812,1101,1159,671,809,876
"8",416,480,920,823,830,959,993,492,1040,481,721,649,872,508,959,447,421,499,1183,1044,1102,1185,948,540,994,853,954,544,925,558,685,685,444,682,1081,856,987,852,813,1174
"9",877,850,818,1034,1100,747,589,856,861,410,714,879,830,402,484,628,696,586,636,548,778,737,883,1056,499,1088,436,999,730,781,461,1049,424,1093,970,915,851,627,507,863
"10",724,582,960,886,466,934,926,1040,959,604,465,832,1149,945,404,787,954,811,783,761,1152,1138,831,606,883,551,438,672,766,1032,492,1195,465,784,921,1037,428,691,911,607
"11",783,867,1122,1007,739,1077,998,433,745,625,723,459,906,1153,484,932,1005,425,493,954,918,933,727,802,1183,576,649,994,704,922,1076,1069,400,1079,1088,500,895,515,883,1125
"12",487,471,1187,605,678,739,1116,1065,795,953,1156,705,565,958,775,968,1116,889,470,1067,1148,477,637,1068,768,1144,575,703,968,909,503,1053,485,864,1148,564,751,816,498,486
"13",977,804,938,1195,1015,721,474,440,693,909,1090,1078,842,797,485,954,910,1143,1142,1046,1182,562,583,780,824,600,842,538,542,930,1109,406,482,533,637,1061,641,1049,412,1058
"14",1064,823,1091,624,611,760,773,597,1156,482,1170,1188,584,589,884,477,436,784,919,812,1011,1140,1096,882,490,711,662,595,494,1118,420,954,862,620,1073,562,1092,856,971,553
"15",826,999,1139,427,1075,821,1016,551,1087,764,826,562,453,934,967,960,882,1078,990,680,624,1190,924,1195,906,683,618,1030,479,490,591,730,705,501,826,797,1087,635,758,553
