"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80"
"1",20,18,33,29,12,19,21,8,33,22,14,33,13,23,23,13,12,12,24,25,23,29,12,27,20,11,11,16,34,21,34,23,35,33,23,32,16,8,21,28,31,19,8,18,11,14,14,17,10,31,25,15,19,8,24,12,7,23,23,9,35,6,27,16,6,28,19,27,31,30,28,27,25,28,27,15,6,15,32,18
"2",20,29,17,29,10,28,6,7,13,18,12,16,21,12,16,29,12,20,7,33,7,11,22,9,28,27,34,17,34,29,13,32,25,9,31,35,22,25,20,9,18,20,12,14,14,25,21,17,20,33,17,26,17,15,22,21,35,26,30,18,9,13,13,5,23,10,7,13,25,23,27,21,7,12,21,31,8,24,10,32
"3",17,32,27,11,6,34,13,30,28,18,11,32,29,26,15,17,18,29,32,31,10,13,5,35,7,8,19,7,14,26,15,19,25,19,27,20,17,26,19,13,9,29,12,27,20,25,16,18,11,33,26,20,16,20,33,34,14,7,20,33,34,32,21,27,22,34,32,8,24,16,35,25,11,26,28,25,29,24,26,11
"4",11,27,21,34,19,32,26,6,5,7,30,22,26,11,27,18,26,24,29,11,16,6,18,17,28,23,28,9,15,20,27,9,15,28,23,33,14,19,35,12,12,20,12,25,12,23,23,12,13,31,32,34,19,33,8,30,14,7,30,17,30,12,5,13,30,6,23,7,25,20,15,9,26,9,7,26,5,15,20,13
"5",31,17,18,21,33,13,7,13,18,31,22,9,7,31,29,29,18,26,34,29,16,31,23,9,26,15,33,14,32,12,23,19,18,21,7,28,33,31,22,23,12,24,33,12,35,26,16,16,10,27,8,13,23,5,33,30,9,30,23,32,10,30,23,8,27,18,11,29,29,8,27,7,25,8,19,25,16,35,10,34
"6",34,27,10,29,11,8,8,25,21,10,30,22,22,13,25,35,16,14,20,10,26,7,23,20,33,28,33,28,8,28,34,22,22,21,31,15,9,14,35,7,32,27,34,13,6,16,24,14,29,11,35,13,33,25,34,35,5,7,24,23,10,34,15,7,24,7,14,24,17,17,32,7,17,10,25,6,35,9,24,19
"7",7,30,31,25,16,35,29,14,30,19,18,5,7,30,24,23,34,6,20,22,17,21,17,15,25,18,6,8,12,33,25,13,21,21,10,29,32,14,8,24,25,24,28,14,21,28,26,14,27,26,16,35,8,34,21,8,22,16,5,16,25,22,24,6,22,19,21,19,29,19,28,16,17,14,8,28,8,25,26,21
"8",15,16,21,16,18,33,23,11,29,9,33,25,34,5,16,31,5,5,15,21,26,11,16,20,28,5,13,19,29,24,15,27,5,33,11,20,9,15,10,25,15,9,35,9,31,7,7,10,19,6,28,15,20,31,12,28,9,30,12,20,6,33,26,16,14,17,7,21,32,25,33,10,34,14,10,8,7,8,8,6
"9",33,33,30,31,24,6,8,22,34,20,12,33,7,15,17,26,31,30,26,9,18,10,10,18,28,33,33,30,12,32,8,24,13,32,33,8,30,20,14,23,25,13,21,22,12,28,21,15,12,22,9,28,5,30,14,17,34,13,5,7,11,23,27,31,6,28,30,26,7,13,26,30,10,15,12,25,27,8,23,29
"10",5,25,18,21,27,8,11,18,32,28,28,20,22,26,8,14,30,23,33,26,5,24,11,9,9,5,35,15,12,15,13,22,10,14,5,33,34,5,20,16,11,18,5,35,22,5,19,19,16,25,22,8,16,31,35,7,11,21,34,33,20,16,30,17,22,27,5,5,10,5,32,34,18,7,11,13,33,11,10,11
