"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
"1",29,22,21,31,36,31,30,20,39,27,35,32,25,28,24,23,30,21,35,30,25,28,36,33,37,37,31,28,24,39,28,29,39,30,28,34,32,22,27,39,23,21,40,33,21,29,28,23,25,20,40,25,39,28,36,23,35,31,39,31,30,32,26,30,28,24,32
"2",40,37,34,27,23,31,32,37,33,23,34,38,27,39,38,39,39,38,26,26,32,34,40,20,26,32,24,25,24,36,36,29,27,29,24,21,21,20,30,22,30,28,39,32,30,37,29,26,24,23,25,40,38,34,40,34,26,29,29,37,36,22,22,23,36,32,34
"3",25,28,22,36,26,24,31,37,29,40,30,32,29,33,20,35,31,39,34,27,34,20,37,26,36,29,20,28,24,38,36,30,20,35,25,20,39,34,23,33,21,37,24,24,29,26,21,20,37,34,28,37,20,30,31,39,27,33,34,28,36,27,28,23,35,24,20
"4",37,31,39,29,28,20,26,37,31,38,32,32,30,20,26,27,23,29,31,31,29,33,33,32,24,34,22,23,36,36,35,27,27,24,23,33,34,28,24,24,36,32,33,23,22,28,30,29,30,25,23,26,33,35,36,38,30,33,35,24,35,27,20,21,21,32,31
"5",40,30,23,25,22,22,32,35,26,29,31,40,22,30,26,23,25,21,34,31,35,20,40,31,37,27,32,30,40,28,40,24,29,23,34,21,39,37,30,31,33,40,26,32,30,29,40,39,35,32,33,37,21,30,27,34,20,20,21,33,37,30,39,33,27,24,38
"6",28,40,26,36,37,27,26,26,40,38,40,26,29,39,20,36,40,29,22,40,32,24,27,31,35,30,37,31,23,23,22,21,24,20,30,33,26,32,38,32,26,26,20,27,33,31,38,26,26,22,37,26,23,30,28,25,39,20,40,24,37,30,38,24,40,30,20
"7",20,38,37,33,23,34,35,35,21,32,22,36,39,34,23,35,20,22,37,23,35,30,40,30,35,27,27,27,22,34,29,26,33,20,36,32,24,30,20,39,39,27,24,33,24,40,28,40,20,28,29,21,32,39,36,24,32,39,35,21,23,29,23,26,31,22,37
"8",37,36,30,26,29,23,24,32,26,26,27,32,22,24,40,37,20,25,24,27,24,26,34,32,38,24,37,32,28,29,28,24,23,40,22,30,30,37,21,37,39,26,20,28,27,38,25,24,40,22,30,34,37,25,20,30,30,28,31,33,37,36,34,32,39,23,24
"9",35,26,31,26,27,40,30,27,20,23,26,33,39,39,34,26,34,22,37,38,36,26,29,32,22,25,33,28,37,27,35,35,23,27,20,29,28,28,21,40,22,36,32,21,33,34,37,32,38,38,26,27,21,27,40,21,28,22,24,28,21,35,23,27,33,29,40
"10",38,32,33,23,21,35,26,30,30,26,27,31,38,25,39,22,23,22,24,25,21,24,20,28,22,21,27,37,27,23,39,31,25,23,25,23,31,39,34,25,27,22,24,36,25,40,20,30,32,29,22,40,24,22,29,21,20,27,28,36,21,34,37,37,39,21,35
"11",21,33,21,29,23,20,34,26,39,36,22,27,22,24,32,28,29,33,28,27,37,27,35,29,20,22,35,27,28,26,21,28,22,39,38,22,21,31,29,30,25,30,22,25,24,25,34,32,31,40,30,25,40,37,35,37,29,39,25,22,20,35,33,38,25,33,23
"12",30,36,20,24,38,38,25,33,28,23,24,28,38,38,36,27,30,23,25,32,29,24,40,34,21,28,31,33,25,27,39,38,32,27,24,40,27,22,34,40,37,24,26,35,30,37,40,39,25,37,33,32,23,28,22,38,35,24,30,20,23,40,35,33,32,31,32
"13",40,34,25,24,28,33,31,37,35,37,29,33,39,21,25,20,25,21,38,22,32,25,30,22,27,31,38,23,20,32,31,38,26,36,23,24,25,21,21,21,28,30,35,20,29,29,31,31,36,35,26,33,27,20,29,34,26,33,21,40,29,29,39,36,35,35,34
