"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77"
"1",17,26,48,32,39,28,11,40,27,41,12,18,48,11,36,34,25,37,34,28,39,49,21,17,49,38,30,31,20,24,30,33,14,16,19,15,17,31,23,50,15,18,18,50,29,16,35,36,16,16,29,40,23,42,36,39,35,35,20,15,25,33,17,33,10,33,33,13,25,41,22,35,35,23,17,47,50
"2",17,20,33,11,43,45,39,22,27,32,26,26,30,38,44,26,13,33,28,34,18,20,49,20,44,49,19,47,50,14,28,33,38,25,23,37,14,32,10,45,49,36,15,45,16,14,38,45,32,38,46,27,46,43,49,42,37,47,43,24,24,48,26,39,11,19,38,26,24,25,47,17,42,40,35,22,24
"3",23,28,41,30,35,36,11,44,50,45,34,38,27,38,45,44,33,26,48,29,25,50,37,49,10,12,42,15,13,42,40,22,34,32,26,33,34,35,13,47,26,45,26,39,38,38,39,14,16,30,29,47,47,37,28,40,18,32,44,35,50,15,47,43,40,20,22,12,12,21,32,17,29,13,27,20,34
"4",29,47,37,47,14,23,40,31,20,41,44,43,17,16,34,42,23,46,41,37,31,32,32,27,20,27,44,26,17,26,10,20,37,11,22,35,26,45,19,38,48,40,40,26,35,15,45,34,12,38,42,26,31,43,40,22,19,31,26,24,15,17,30,23,38,34,12,32,14,43,39,13,19,12,38,42,29
"5",14,23,27,47,46,27,25,19,45,10,50,29,32,31,38,18,10,37,38,41,48,33,28,46,15,33,18,44,42,13,42,25,39,41,16,27,31,36,28,35,40,49,23,29,47,44,42,25,13,29,40,38,18,38,24,14,30,16,12,42,41,38,14,43,40,36,40,50,39,38,25,10,39,23,28,20,27
"6",27,34,11,46,19,33,15,43,35,20,16,27,45,36,48,20,37,35,40,42,40,18,18,22,20,32,48,25,13,26,39,34,25,45,44,27,16,23,24,44,33,39,45,48,17,25,19,26,34,45,11,17,31,40,19,13,35,10,27,22,48,31,39,14,45,42,18,13,35,42,35,23,21,16,48,28,46
"7",10,12,29,38,40,23,21,18,23,13,32,15,48,42,23,28,11,32,13,20,37,45,20,38,13,10,28,11,17,48,37,21,41,46,21,10,37,35,39,47,14,17,41,41,34,44,13,33,49,37,31,19,25,27,36,17,26,13,33,43,17,14,38,45,15,18,41,39,47,45,13,37,37,30,10,30,33
"8",43,39,46,12,12,21,22,39,36,48,16,34,49,17,33,32,31,45,22,13,10,10,46,47,47,14,11,17,45,25,16,42,12,49,48,25,47,43,13,22,32,28,10,38,38,11,17,18,41,38,33,50,21,18,12,18,24,35,48,40,10,15,11,11,28,10,48,45,44,25,42,43,15,39,11,33,49
"9",35,42,10,12,15,17,44,33,43,33,25,18,44,14,46,12,15,32,47,10,33,42,32,41,20,31,39,43,33,45,31,23,24,26,21,41,48,34,37,40,44,50,21,10,45,24,30,14,28,27,11,50,12,21,21,33,42,19,38,25,21,26,29,50,45,27,17,46,49,49,48,15,18,41,20,33,28
"10",11,26,38,10,13,20,29,24,46,26,38,10,18,22,16,40,38,31,34,22,13,40,49,11,37,36,43,45,35,37,40,34,43,33,17,42,44,12,20,46,33,10,37,17,39,43,39,39,47,20,29,47,32,48,25,22,29,27,50,50,14,23,29,27,35,48,24,10,46,32,19,23,45,49,15,40,17
"11",25,11,24,23,23,21,50,22,22,37,43,35,46,29,24,44,33,22,13,28,42,12,22,24,19,17,31,17,28,44,26,41,20,41,48,38,41,26,30,15,34,38,34,28,15,36,50,32,38,44,41,40,10,25,34,17,27,40,26,45,37,33,14,23,33,26,40,22,14,21,20,14,26,29,43,10,38
"12",43,12,29,30,49,12,44,22,31,46,12,42,27,43,34,44,21,13,25,31,46,23,43,22,24,40,18,15,32,40,33,10,50,33,37,17,48,12,17,35,29,23,37,37,19,49,15,30,33,40,30,34,10,19,37,36,48,22,23,16,27,18,23,18,11,23,12,17,27,41,25,49,49,17,10,35,37
"13",22,21,12,37,24,28,17,21,42,25,31,41,46,38,40,42,11,15,31,22,21,14,10,16,44,33,45,34,50,39,17,23,20,43,10,11,46,50,45,38,29,44,15,18,40,12,15,17,19,27,39,31,12,44,38,22,22,10,46,18,23,36,13,43,12,42,42,22,33,42,24,18,34,10,42,50,27
"14",18,22,18,48,12,16,25,21,13,16,37,27,46,24,10,12,48,41,42,48,20,46,40,26,43,21,37,14,26,10,50,30,10,39,17,47,26,19,25,48,37,31,21,12,41,25,50,30,45,38,17,34,32,25,33,43,25,42,42,37,35,50,43,37,37,11,33,12,25,46,49,11,41,14,41,38,48
"15",44,40,49,19,42,13,12,22,33,11,41,36,50,23,14,45,25,39,42,36,30,50,18,12,26,45,39,43,19,21,50,22,21,48,12,22,16,41,27,39,33,50,24,21,39,23,23,25,21,42,29,15,13,38,42,18,46,47,34,49,10,15,12,37,50,27,20,19,14,13,43,28,47,24,21,22,22
"16",14,14,38,31,31,47,50,31,15,17,15,20,42,35,49,36,38,41,30,18,45,12,16,47,30,22,39,25,34,31,50,31,21,23,48,39,16,18,35,30,26,34,46,13,47,12,30,36,12,11,39,40,17,14,18,17,42,15,14,34,44,36,39,19,12,39,28,29,21,45,13,36,12,36,15,38,20
"17",30,28,15,27,36,11,19,11,36,32,29,49,44,20,42,41,41,31,25,48,18,33,11,32,41,10,50,29,28,37,13,45,25,26,42,29,17,35,19,27,12,36,18,45,44,26,20,43,40,13,45,48,31,11,38,12,13,41,43,27,45,31,42,13,32,28,18,39,49,36,30,13,40,25,49,24,25
"18",13,34,39,31,43,48,12,47,41,26,44,36,33,32,15,29,23,37,21,49,28,41,49,20,41,48,40,19,42,19,21,46,22,41,12,41,13,21,38,16,42,14,27,26,47,19,21,34,21,42,29,46,17,44,23,45,24,14,34,10,37,13,17,26,19,41,20,24,34,39,27,15,41,16,37,18,40
"19",50,39,11,22,10,47,15,33,18,23,41,42,20,21,27,30,23,26,28,42,19,11,12,28,24,38,25,23,21,35,39,28,12,45,46,18,11,17,50,24,50,17,40,49,30,10,14,39,21,31,43,36,47,22,10,47,50,49,23,17,22,24,42,20,39,21,21,46,30,26,19,35,31,17,48,15,20
"20",42,43,10,35,27,12,27,16,44,33,26,22,44,12,20,15,45,47,30,12,41,26,39,35,13,47,25,26,16,45,43,37,39,38,10,13,18,10,28,16,10,21,40,43,38,19,36,22,24,10,50,17,46,26,37,27,46,16,34,21,30,11,50,23,15,33,49,30,23,39,48,12,13,29,11,15,30
"21",28,47,44,17,21,29,20,12,50,50,44,13,48,41,33,22,20,16,41,38,37,23,20,37,26,25,27,30,32,29,20,15,11,38,11,44,36,49,42,19,46,25,44,18,19,33,22,14,15,17,34,10,17,30,29,18,42,38,47,40,15,37,40,46,26,14,16,44,12,34,25,24,19,16,26,36,17
"22",48,46,33,24,22,19,18,28,33,24,49,14,34,47,23,39,33,19,41,28,29,48,34,15,12,38,13,47,43,21,50,22,43,48,46,11,26,37,27,29,26,25,40,17,19,46,43,18,39,23,43,43,16,29,41,48,24,20,30,12,40,24,45,48,27,25,50,28,40,50,23,14,22,48,42,36,37
