"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95"
"1",36,23,25,40,21,25,36,22,40,21,30,29,21,29,21,34,25,34,37,30,21,24,39,28,25,28,28,21,32,26,20,23,23,31,31,25,22,39,37,25,37,23,32,32,21,37,25,23,40,30,33,30,36,20,27,22,22,23,31,39,36,22,21,39,26,27,25,30,36,33,30,36,36,37,22,24,40,33,36,24,20,34,35,28,32,35,37,34,21,34,40,39,27,36,25
"2",32,39,20,38,20,25,29,23,31,21,35,34,39,20,35,23,32,38,28,25,40,27,23,20,37,22,28,28,32,27,28,24,23,40,36,27,31,27,25,24,39,36,23,22,32,20,35,36,20,34,27,21,32,29,26,28,24,30,21,21,37,31,24,35,33,34,38,34,35,21,21,26,27,21,36,35,39,33,39,33,20,34,28,23,32,27,37,40,21,26,24,32,30,37,25
"3",29,23,31,34,21,35,31,40,25,39,39,35,40,38,37,25,21,27,32,26,20,25,36,28,25,32,27,36,21,21,29,25,35,23,31,30,23,25,27,20,38,40,32,38,34,38,20,28,20,28,26,22,28,35,23,29,35,40,24,28,35,26,24,29,40,40,32,21,20,25,39,25,36,39,28,26,28,30,37,21,22,24,36,23,22,40,34,26,37,30,23,21,32,20,38
"4",38,39,35,31,28,35,40,39,35,23,27,29,32,27,28,28,25,34,21,26,32,24,36,27,23,20,27,31,25,36,29,30,28,28,34,38,31,32,40,35,38,32,20,27,27,33,35,26,25,31,27,37,31,22,35,23,33,27,20,23,25,27,39,35,21,21,22,20,20,22,29,40,22,40,22,40,32,26,30,32,29,25,39,38,35,40,21,25,23,21,28,33,38,37,38
"5",40,26,20,39,31,36,25,30,23,39,39,27,39,31,37,36,40,34,39,30,27,34,28,28,39,25,33,28,36,27,38,38,37,29,28,30,40,37,29,22,31,28,27,21,37,25,32,26,27,27,23,22,21,28,22,24,24,23,24,26,38,39,24,29,33,21,36,28,36,38,22,35,34,37,27,31,28,28,23,34,35,32,24,37,25,39,22,40,29,33,28,26,24,21,22
"6",29,30,20,27,32,38,37,35,21,31,27,29,20,28,22,28,33,20,35,36,33,35,37,38,23,32,34,31,31,31,28,37,23,25,26,20,37,38,35,29,28,30,28,40,39,21,26,35,25,37,20,21,39,33,32,39,34,27,37,20,33,29,33,32,29,40,35,38,26,37,31,23,32,37,32,37,34,39,29,30,37,37,31,23,32,36,35,26,38,32,23,35,39,20,33
"7",34,38,25,20,29,27,25,33,39,30,24,29,33,37,34,33,28,22,37,34,29,32,26,37,40,32,21,22,30,23,31,36,26,36,24,27,39,22,21,27,21,35,32,27,33,30,28,34,21,26,20,31,34,26,32,34,21,40,20,39,26,20,38,25,24,20,24,32,34,35,37,21,34,38,26,21,36,22,24,35,21,29,26,35,28,37,26,27,27,35,32,24,36,38,21
"8",35,31,22,32,22,33,23,36,33,25,33,36,25,32,22,20,37,39,28,34,40,40,34,37,25,26,39,33,29,29,23,32,24,36,37,37,26,35,21,25,27,23,22,35,35,32,39,25,29,40,32,36,33,29,29,37,40,40,27,38,25,40,36,38,25,40,20,23,38,27,37,27,25,37,40,38,27,20,29,24,38,36,22,20,35,24,27,26,25,31,28,37,37,38,32
"9",34,39,23,25,35,24,31,34,25,21,20,25,36,28,34,35,39,38,26,27,29,36,38,26,27,40,40,27,33,24,36,24,30,27,35,23,34,31,28,36,30,37,20,24,38,24,31,21,39,28,32,29,27,24,40,23,23,30,20,36,21,31,21,28,40,39,23,25,23,27,27,22,34,22,28,35,27,28,21,30,22,25,36,27,36,24,32,40,33,26,32,31,40,39,31
"10",30,35,33,21,34,21,37,26,29,28,38,23,33,20,31,31,33,21,38,23,33,21,26,32,26,25,33,20,36,40,27,37,26,21,29,26,21,20,28,38,39,29,39,28,21,34,25,37,24,25,31,28,36,30,28,31,25,20,25,26,27,25,26,31,38,24,35,29,24,40,40,36,32,40,29,21,34,32,24,21,20,32,22,22,25,38,39,34,20,20,22,36,21,24,31
