"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133"
"1",39,37,24,20,32,24,33,31,24,24,39,26,36,20,25,24,38,23,22,20,36,29,39,25,34,39,34,24,27,34,29,29,24,22,23,33,31,39,38,32,25,28,20,23,24,20,40,26,33,36,22,37,26,30,20,40,38,31,23,30,32,40,28,38,38,24,25,32,24,25,40,30,23,40,20,23,29,25,24,39,37,25,20,35,30,30,23,31,23,29,23,29,35,34,28,32,21,40,30,37,39,24,27,20,35,23,39,36,38,37,38,33,24,24,31,24,30,23,37,38,34,25,27,31,27,33,22,20,21,33,40,30,21
"2",27,32,28,23,31,35,25,27,27,34,24,30,21,31,21,25,29,37,30,38,26,31,26,40,36,31,22,27,36,30,32,35,20,24,36,40,21,24,27,24,27,29,21,24,32,37,22,36,37,21,27,30,40,35,40,23,29,36,20,32,27,36,36,32,25,33,29,24,27,20,37,33,32,20,21,22,28,35,40,32,21,35,35,21,36,21,32,32,23,32,40,24,38,31,35,25,28,34,26,27,35,20,26,26,22,25,25,20,38,22,40,28,37,29,31,20,38,38,39,29,24,29,38,34,34,30,24,29,28,25,24,31,20
"3",31,22,20,29,30,24,27,39,37,35,32,26,21,23,36,28,30,33,39,21,29,21,31,31,28,23,25,20,25,30,34,21,37,24,26,23,22,37,27,21,30,30,21,29,35,22,33,39,39,28,39,33,31,40,21,21,22,26,28,21,25,31,22,27,24,21,39,29,28,34,32,21,22,39,38,37,32,26,20,26,37,26,24,23,36,27,24,22,24,36,26,31,34,25,39,27,25,26,28,34,35,20,25,38,36,37,30,27,39,24,40,25,37,26,31,37,30,36,34,30,24,21,30,35,33,28,25,25,29,40,39,27,20
"4",23,22,32,36,39,27,27,30,25,34,36,28,21,34,24,33,29,21,35,30,40,23,39,33,29,33,23,32,30,31,39,40,32,33,28,32,37,24,29,27,38,27,38,39,28,39,30,39,40,25,20,39,39,25,21,28,27,22,28,36,28,35,37,39,40,27,25,39,26,28,36,38,20,23,36,23,23,22,40,23,37,34,37,23,30,30,39,31,20,40,20,29,34,27,33,30,38,30,27,34,27,22,27,28,21,28,28,23,26,21,36,38,29,38,32,32,30,31,24,32,34,39,28,37,26,31,22,26,33,28,32,33,34
"5",33,37,20,24,39,22,35,37,37,39,36,20,22,29,24,29,33,21,32,20,40,22,35,39,23,38,35,35,39,35,28,21,20,34,20,27,29,37,29,39,36,30,25,32,26,29,39,27,31,26,27,40,28,28,40,22,29,35,35,40,21,28,35,35,38,25,37,23,28,34,28,32,22,21,29,26,24,26,37,22,29,21,20,32,32,39,35,30,33,38,30,23,25,31,29,34,36,22,30,40,24,26,27,29,36,38,20,20,24,27,34,28,30,32,39,23,22,21,35,29,28,20,22,34,29,25,26,32,37,30,31,34,37
"6",40,21,34,21,35,39,34,29,39,28,32,21,35,27,25,38,20,28,29,22,32,30,34,22,31,22,23,28,33,26,35,20,38,21,26,28,26,37,33,38,21,28,24,31,23,28,40,40,32,39,34,35,36,30,24,36,21,20,31,28,23,35,36,30,36,37,31,38,29,36,27,28,21,32,34,31,27,20,20,38,21,20,30,27,30,25,26,35,30,25,27,40,29,29,33,33,21,23,29,37,23,27,23,25,21,40,26,30,37,28,40,25,27,28,21,25,33,35,39,28,40,35,24,36,27,38,34,37,21,21,25,36,28
"7",26,34,33,36,40,26,39,30,35,24,25,21,29,36,30,31,25,40,30,20,39,30,34,33,40,30,21,38,28,33,20,20,38,29,37,24,39,40,36,25,40,24,20,37,22,29,34,34,23,31,23,32,39,37,26,28,38,20,34,26,35,24,24,28,20,29,36,34,34,29,35,21,30,35,28,26,29,38,36,38,27,29,39,29,23,26,32,30,20,24,33,31,37,21,20,20,33,21,40,26,30,24,26,28,25,37,33,29,34,25,30,28,33,36,26,40,38,27,20,23,30,38,31,31,27,33,38,27,25,36,23,33,24
"8",29,33,29,24,31,39,25,22,38,32,28,22,33,33,24,26,39,37,26,36,30,31,20,35,30,38,31,20,21,33,21,40,26,20,36,39,21,28,34,36,32,27,38,22,21,24,30,39,30,25,37,30,35,38,23,29,31,22,35,31,24,23,34,38,28,37,36,38,24,22,23,32,32,21,20,24,28,26,27,36,36,22,20,21,32,24,26,27,29,37,38,23,28,34,25,38,40,33,33,24,33,25,20,39,34,35,34,39,30,33,20,35,30,21,21,23,30,37,31,35,34,24,30,25,34,39,26,37,22,30,36,33,36
"9",37,36,21,36,26,34,28,28,28,30,23,26,32,31,33,26,33,21,20,20,39,27,30,39,34,26,21,31,27,32,22,37,31,23,39,28,32,23,26,40,32,24,39,37,34,27,31,22,26,37,29,26,40,22,32,29,25,40,30,20,37,28,40,34,23,25,34,27,26,28,25,29,40,35,22,32,36,22,37,36,39,21,26,36,21,20,28,23,21,32,29,26,35,35,37,40,22,32,26,21,28,34,39,25,37,34,35,31,31,40,23,22,34,35,20,21,31,29,27,32,36,35,34,25,24,30,22,33,30,28,31,27,30
"10",28,32,26,39,25,22,36,32,33,24,29,35,37,35,24,22,27,31,24,32,20,37,21,33,30,32,30,33,39,28,33,34,21,33,32,34,26,25,21,24,35,21,31,39,33,20,35,30,26,38,36,37,21,33,36,39,28,33,21,32,33,23,25,25,34,36,21,39,24,26,36,38,27,38,24,26,37,28,34,22,23,21,38,24,23,28,36,21,29,36,27,27,21,36,37,20,21,39,25,33,29,29,22,34,25,36,37,24,30,34,30,26,38,39,34,20,33,34,29,24,40,32,21,28,37,27,23,33,23,35,28,30,34
