"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1",10000,10000,10000,1640,1435,10000,10000,1316,10000,10000,10000,1594,1671,10000,1550,10000,786,1344,1018,10000,10000,10000,1706,10000,1119,10000,1569,1731,1290,10000,10000,1750,763,1495,1287,1170,10000,10000,1257,840,1218,1552,10000,795,10000,1024,10000,10000,10000,10000,10000,10000,10000,10000,1124,765,1164,10000,10000,10000
"2",833,10000,10000,10000,10000,1383,10000,1541,10000,10000,1044,10000,10000,1280,1389,10000,1497,1534,671,10000,899,10000,1196,1019,10000,10000,10000,10000,1779,1666,923,1762,638,1548,10000,1247,1144,1368,1487,10000,771,1461,990,862,1721,10000,1036,10000,1659,10000,725,1431,1342,10000,10000,920,1445,10000,1503,1014
"3",10000,1693,1039,10000,837,10000,1793,1255,10000,10000,10000,10000,640,10000,1674,10000,10000,1397,901,10000,1773,10000,10000,10000,1666,1775,10000,841,10000,10000,10000,731,1669,1041,10000,10000,794,10000,1498,647,1239,10000,10000,10000,10000,1755,10000,1386,10000,10000,10000,10000,838,10000,661,10000,10000,1335,1345,1303
"4",10000,10000,10000,10000,1095,10000,613,1137,10000,10000,10000,10000,1007,10000,10000,1245,1278,10000,1675,1529,10000,1229,10000,1613,10000,10000,1306,1189,639,10000,10000,1355,10000,10000,10000,10000,10000,10000,10000,1098,10000,10000,1337,1789,10000,10000,10000,1647,912,10000,1758,10000,689,1708,10000,1609,1092,10000,1566,10000
"5",693,1641,10000,10000,1488,10000,1630,1499,10000,1072,951,937,10000,10000,10000,10000,10000,1667,10000,10000,10000,1337,10000,1413,1604,10000,1403,10000,10000,10000,1747,939,10000,1769,10000,632,10000,707,10000,10000,956,10000,1136,991,761,1186,1093,10000,10000,954,10000,10000,1401,10000,10000,10000,1070,1221,1306,1370
"6",1584,1596,638,1271,658,10000,1467,10000,10000,648,737,666,10000,10000,816,813,10000,912,851,10000,10000,10000,10000,10000,1235,977,945,10000,10000,1233,869,10000,1598,10000,1767,671,1045,1011,1565,10000,786,10000,1695,757,1076,10000,10000,10000,10000,1603,10000,830,10000,782,10000,10000,10000,10000,10000,10000
"7",1198,10000,1444,10000,10000,1386,10000,1377,1480,10000,1057,10000,10000,10000,1473,10000,10000,10000,1626,748,934,10000,1309,611,10000,1661,827,10000,10000,10000,917,1440,823,851,838,10000,10000,10000,10000,10000,808,643,10000,703,613,1068,10000,10000,10000,10000,10000,836,10000,1491,796,879,780,1374,10000,10000
"8",10000,10000,1087,10000,10000,10000,10000,10000,10000,10000,687,10000,733,1491,10000,10000,10000,10000,10000,808,10000,10000,1062,10000,10000,745,10000,904,1724,10000,808,751,10000,1512,934,1338,10000,10000,1689,938,10000,1303,10000,1320,10000,10000,10000,1254,867,10000,10000,1213,1383,10000,10000,738,1576,10000,934,938
"9",977,1466,10000,10000,1262,1030,10000,616,10000,1383,10000,1697,10000,765,722,1480,10000,993,10000,10000,10000,10000,10000,885,782,1701,10000,10000,1690,1514,1616,953,1584,10000,1590,10000,10000,10000,1719,10000,10000,1215,674,10000,790,888,1531,980,991,10000,10000,1521,10000,10000,10000,10000,10000,10000,10000,10000
"10",10000,880,1676,1354,10000,10000,10000,1029,911,10000,1561,10000,10000,903,1166,10000,10000,10000,1724,10000,837,1447,981,10000,10000,1565,946,1133,10000,1350,1300,1434,10000,10000,10000,1356,681,10000,1459,1443,10000,1402,10000,1242,1749,10000,712,10000,10000,1092,1292,10000,854,1543,1140,10000,742,10000,936,779
