"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1",9,30,18,5,34,17,17,20,19,15,6,23,15,31,29,10,32,12,20,17,18,19,34,31,10,6,35,33,28,7,8,14,18,16,13,10,13,34,6,24,28,14,20,9,8,12,35,30,16,14,8,34,23,5,21,24,16,32,29,28
"2",21,9,21,33,30,27,32,21,21,25,17,13,30,11,5,15,18,22,9,31,16,16,8,19,26,26,7,26,18,27,27,24,10,18,16,17,20,16,7,29,30,27,16,30,18,10,35,9,33,14,26,13,24,5,19,22,20,33,8,23
"3",15,17,19,5,35,33,13,20,22,32,25,24,18,11,5,19,30,7,26,34,33,7,12,17,9,18,20,35,30,17,8,6,8,19,24,33,6,20,13,19,24,13,26,20,12,12,32,11,15,18,16,18,23,24,12,17,31,21,31,13
"4",29,21,14,13,23,9,16,11,34,12,35,7,11,23,17,33,14,34,30,9,35,8,9,30,35,31,21,9,13,28,15,16,14,29,12,32,20,33,26,21,22,9,23,35,20,35,19,17,7,30,34,20,12,28,23,16,6,31,7,14
"5",6,7,35,30,18,9,10,34,20,33,16,27,35,34,9,7,18,29,24,5,8,28,24,35,12,11,30,17,28,19,16,30,25,9,24,20,10,26,19,23,18,24,5,34,35,22,34,34,33,25,21,32,16,13,17,16,22,33,13,25
"6",29,12,5,9,31,33,18,19,11,35,22,26,26,20,19,11,16,30,29,25,28,35,13,8,9,11,25,31,7,9,32,17,35,33,13,16,29,7,17,21,30,9,17,35,27,19,35,16,10,20,22,13,15,17,16,7,24,17,22,30
"7",17,24,24,7,18,17,26,9,22,20,9,8,23,28,30,22,19,31,13,12,6,6,31,13,15,31,27,35,32,16,10,27,8,29,33,33,15,22,19,18,16,11,28,9,27,19,16,22,27,32,20,6,19,21,30,34,20,12,17,9
"8",24,32,35,30,17,22,19,31,30,13,30,32,12,7,7,20,32,24,10,29,10,14,34,12,21,29,20,6,12,6,5,27,20,18,24,30,8,24,34,33,14,8,24,25,28,12,8,23,29,15,18,30,18,6,32,32,16,26,34,6
"9",10,22,14,23,5,23,23,32,33,19,16,21,10,13,26,17,31,13,23,26,13,29,33,31,26,14,10,8,16,10,10,17,16,34,18,27,22,8,6,34,30,17,32,33,20,18,11,26,21,6,33,11,25,11,26,25,20,34,11,21
"10",10,14,26,19,28,26,27,11,33,26,23,32,21,21,9,5,24,13,15,26,35,24,10,17,20,7,22,13,15,29,21,7,24,24,19,10,14,21,13,32,11,33,17,16,19,31,35,21,11,31,19,6,22,26,21,15,6,14,13,32
"11",19,14,29,20,25,35,28,12,27,6,8,25,21,18,29,20,13,34,13,31,23,11,7,29,33,32,24,17,31,5,26,10,33,19,29,26,34,19,33,21,7,31,12,24,14,25,18,32,21,16,12,12,29,27,19,17,12,24,22,10
"12",28,28,20,25,30,25,28,29,12,32,5,24,21,5,35,33,32,27,27,14,9,20,22,29,6,8,32,23,6,17,29,27,20,21,35,17,33,9,19,32,7,25,20,9,28,20,22,16,23,11,31,25,6,26,34,31,31,11,22,26
"13",16,27,7,21,32,8,15,35,30,12,5,31,14,21,29,13,31,28,27,14,6,11,32,28,5,28,31,6,31,25,24,8,34,18,9,28,25,24,10,18,10,30,12,16,18,34,5,30,27,24,6,22,12,10,12,27,24,11,31,12
