"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250"
"1",8572,4011,10576,4621,8926,10701,5334,6070,8532,7809,9210,7856,9745,10641,6819,6945,5948,6693,8705,7521,4412,9148,7962,6990,11769,4343,9130,6782,4961,8657,6875,7500,8556,8920,4189,11238,4390,7279,7781,11518,6069,11141,10833,6105,5036,11965,5619,8444,11622,6654,4244,4637,7163,6945,10025,8645,10514,7286,8350,6815,11315,4433,9074,10236,6894,7089,9989,8987,8430,11838,4712,9066,4913,8154,4554,11244,9346,8957,4831,7240,6786,11563,6101,4599,6746,8426,11132,4467,10813,11605,6225,7638,5421,8146,7160,7413,4774,7177,5369,5659,11190,7811,11607,11439,10444,11386,9762,4167,11423,9046,5067,9604,11711,4001,10475,11130,9034,4960,5847,4546,7323,11405,5749,10870,9381,5209,5474,11552,10544,7548,7245,9547,4168,11658,5961,4863,9719,10102,10020,9180,4066,4948,6151,9258,4515,8066,11917,9008,11463,11395,9516,5315,11931,6845,8765,4313,5577,4610,6324,11551,8012,8764,4241,7615,8750,7244,9255,9356,4434,10395,10866,4700,9678,5827,11562,8457,9470,10733,9924,4999,7559,10049,9627,8334,7172,5991,9284,11801,5680,4542,9915,9601,7738,6714,11919,7693,4463,10156,10845,7595,9403,4609,5284,6626,8172,8145,5190,9794,5556,7503,6236,8343,8769,8808,6328,7610,10897,9183,7536,7726,8145,6726,4787,5257,10842,7333,9010,7802,11991,5322,9437,7875,8649,11299,6457,11559,6539,5096,8661,5294,8804,8448,4030,10946,7746,11040,7686,11621,8106,5141
"2",6301,9962,5010,8169,10570,9801,8152,9846,8649,7875,9677,6360,4255,4520,4697,5992,7810,6609,7966,9383,6989,5163,5963,8454,9871,9981,7317,5618,10988,8110,9622,9588,5409,8413,9920,10732,10605,5604,4804,10018,8409,6119,4348,5523,10717,11493,8338,9992,5068,9399,7200,5642,10442,6487,8944,8494,10780,5270,10175,6019,9660,5942,11843,11883,4128,4506,7959,9146,11315,8669,10809,7566,10598,6282,10368,6355,10473,9365,8438,7532,4268,7827,7487,4157,4203,4495,6072,9505,5126,7799,9652,9480,11078,9904,9543,6378,4476,5810,10502,7966,7362,6675,7355,7923,10648,7892,7022,6007,6865,5156,6297,11890,5237,5466,6685,4898,10375,9206,8142,7888,10968,5596,4354,10684,9011,5282,9261,6945,4888,10982,6746,9276,10537,5513,5286,8005,8067,9065,5574,5294,5387,8436,9699,6982,9129,7930,4050,11590,11491,9693,10571,7256,9257,11687,5650,4117,5209,4483,10531,6837,4787,5343,7451,6349,10605,11896,4766,5926,8577,11464,9504,5353,10953,7234,10985,4128,8609,10585,6005,11658,9937,5172,11189,9279,4438,6459,11349,4064,4819,5641,7930,8172,5168,8915,4539,11899,5167,8455,5237,5180,4366,10196,4083,4709,11034,8621,8604,10218,9979,6772,11544,11344,8817,9864,11135,8639,4792,11561,6764,5413,9875,10703,8556,5123,8794,5503,4923,9070,5106,4810,6654,4984,9828,5117,7203,11750,11960,9051,4634,10664,7726,5456,5474,4778,5757,4821,10907,4277,4562,4639
"3",7894,5946,5529,5965,10351,11869,11896,9811,8979,7029,9409,4643,8236,10934,10191,8279,6191,8558,9679,9420,4995,8576,10279,9510,10399,7310,6189,9981,9266,5596,4162,9563,7810,11004,11677,10763,6933,9398,4712,6305,7039,6210,11774,7465,8353,8447,9967,11254,4254,4973,4133,11543,10256,9778,6305,4669,10600,10002,6260,8830,9393,10831,10936,5988,4272,4008,9995,5613,11162,7126,5413,4991,11162,4931,10118,7969,6773,7536,8429,6709,5095,4342,8033,11108,5536,7967,8371,6833,4550,9814,10175,6493,10415,6210,4029,5122,4897,7178,11289,6118,7601,9457,9123,10904,8669,8141,6486,7358,11617,4058,5008,6959,11587,10253,5642,5934,8337,8911,10917,11092,8558,7105,5509,4220,11637,10425,5732,7022,8494,11054,4502,11404,10764,11614,9173,8422,5463,9442,9985,9857,8557,11056,9697,10395,9949,8720,7812,5328,7117,4905,9328,7958,5255,11464,9810,8618,5063,11971,11706,4961,8275,4321,9524,4171,7927,6894,4841,4736,10087,8960,11090,6161,10161,6026,7780,9460,10035,4233,5745,8124,11928,11420,8893,5587,6887,4883,7067,9021,8180,9415,5098,9418,5217,5690,10460,4717,4486,7613,10272,6850,6915,4682,10190,8073,8690,5158,5669,10261,6548,11385,10278,7614,11159,6339,5752,10837,6422,9122,11226,6834,11821,11806,4031,10439,5751,7466,7243,5359,10206,11004,6895,7490,9547,7160,8604,4151,10166,11195,6193,7656,6976,9537,5867,5523,11031,10607,8474,6652,7038,8927
"4",5002,10516,5971,7595,9692,8318,10848,10767,10513,6033,5364,8398,5365,9059,10483,4911,4147,6692,11268,5461,4551,7998,10875,5914,4613,9547,11612,6361,6139,7076,8675,4711,10468,7591,9591,7420,5323,4383,6612,7175,7813,11923,10593,9194,7063,6988,9589,5534,9626,6565,7823,8250,8528,6071,4569,4956,10679,7406,10340,11085,7291,7109,9368,8873,5918,4820,6006,9797,5004,6528,9455,6526,11407,11996,6751,10149,4399,5543,11818,10598,11103,8512,4065,7036,5488,5969,9177,7043,9490,11552,8803,5507,6726,6767,10739,10373,10329,6399,7061,9498,6594,9931,7615,7828,7066,8855,8498,10831,10699,4741,9353,7651,7664,4204,10835,6370,5131,8670,11127,9613,4375,10638,4808,11286,8972,7392,4999,4161,11930,11935,9784,5929,8927,8943,7585,8336,5131,6685,9132,8187,8003,6436,4364,7373,12000,5351,9000,9962,9605,4994,8537,5198,8582,11419,11061,10432,7048,6584,11405,9878,11620,10391,10358,6074,6981,6360,5897,11849,10138,4773,9202,7461,8736,8076,6595,7281,11135,5218,8681,4569,4803,11855,8278,4000,5429,11284,6226,7724,4098,5516,11613,10980,11017,11509,6981,11943,9606,9591,8679,8631,10121,4170,5290,6388,7558,5347,10333,9947,6873,6927,8421,5906,10227,11983,8445,8152,9122,10567,6180,11327,10131,7912,5666,10963,8795,4862,10409,10209,7057,9032,11949,10601,8628,6215,9860,6329,5470,4268,7574,10308,9705,6325,4265,4607,8382,6347,7314,10927,8587,4692
"5",5706,8933,11431,9546,10704,6653,11505,11078,4686,7588,4660,5492,11600,9585,4084,8837,9219,6310,7956,6124,11243,5420,4231,4931,5105,4427,8105,10615,10889,11685,5229,10336,9098,5397,7123,10004,10132,6718,9857,9640,10294,4066,4570,6516,9381,4033,10395,11798,4673,9839,8637,10262,7329,11380,8326,5550,6109,9964,11040,6083,11009,9481,9075,9070,8124,9392,6337,9429,4740,5063,7465,10138,11125,11923,5793,7977,10748,6456,6514,11471,7960,9629,9973,5462,10278,10222,10431,5159,6902,9231,6422,5346,4350,11996,10666,7934,8144,10665,7188,10611,5107,4401,4439,9697,9344,6088,9104,11737,10844,4681,10710,5658,5539,8564,11268,6095,11320,6709,9697,11927,4605,9358,8802,5969,8103,10440,11513,4998,9046,4574,10256,8918,8952,11960,11760,8248,7362,9603,10211,8547,10139,4418,7846,10459,5548,4980,7763,7855,4802,11055,11843,11178,4795,5818,9812,7335,10611,5874,5377,10907,11415,5512,4364,6737,10678,6417,6740,8511,4216,7225,10300,8611,11857,8948,5637,4552,4393,7857,9521,6289,11597,7478,10884,8234,6479,11642,9683,6765,10108,10076,10796,11791,6377,11956,7135,4875,5158,6402,10195,7465,4645,8675,11624,8328,8384,10796,9330,8507,7033,10753,7684,8833,7368,10194,10164,10748,8466,9626,4944,4219,7355,11146,4880,6862,6773,8956,6752,5930,8300,10297,7903,5734,10526,11523,6153,11660,7556,7784,7049,5341,10562,11511,8577,10919,11435,7041,5939,4241,8828,6408
"6",4302,11380,6486,11519,6315,10277,4950,10640,5776,7807,5263,6488,8108,4701,5259,11991,4879,10721,8019,9564,4898,6156,8144,5311,9473,10447,4493,4497,9086,4032,8718,6695,8745,5507,9942,4209,11246,5018,10807,7604,7778,8836,10224,8803,8436,4201,4886,10932,10486,11353,11019,4908,11493,4610,5808,9403,4150,6656,11583,4353,8942,10462,8583,10101,5214,10836,6077,6642,4822,5673,11294,8545,6625,7041,8089,7600,7595,6916,7308,8627,10041,4226,10774,5879,7043,11098,6062,10164,7588,11755,5357,5584,8566,5476,6551,6068,10917,5676,11655,7349,7669,7420,7484,6843,10228,7811,11787,9268,9326,7213,9316,7560,4336,4421,9918,7755,9074,9195,9820,5357,11058,10273,6431,8221,4690,11123,6838,7896,8483,10326,9688,8073,5290,6170,11540,11038,5570,4056,7082,10942,7287,9227,8943,6089,11402,6844,10687,6085,6428,7549,7924,10110,6153,5927,6179,10832,6213,6194,8935,10639,7283,11537,6052,11363,6106,5819,9101,5445,10969,7774,8310,6845,8853,10917,8388,6302,4948,8076,5320,5417,8218,9234,8925,9733,4497,4250,10928,5390,5097,9856,9280,8833,6838,11704,11917,9006,11256,4038,10168,7831,6690,10795,9486,5171,11405,4841,7797,6783,8897,6433,11022,6428,8971,7961,11358,10867,8236,4462,5519,6264,4804,11418,11074,10087,10719,10067,6298,10119,10627,6564,8554,11058,4797,6086,11096,5034,7200,9748,10352,10754,5180,6948,7578,8172,11939,5377,8134,5836,5869,11400
"7",7755,11288,7885,7198,4913,10882,9409,8985,8466,8810,4592,9703,11589,9816,8922,6102,9138,6397,5618,6400,11370,5078,4145,11538,8497,10324,7001,8999,8461,10837,9249,10154,10121,11863,10952,9589,7084,9266,7027,9816,8045,4747,9200,7644,8976,6135,4404,8531,11963,6825,7353,5579,6504,10602,10370,4464,5577,6260,6325,10167,9794,9098,9312,6235,7811,9825,4165,10202,5829,6625,5730,5550,8571,7776,9180,4962,10297,11429,9717,6520,9559,6290,7438,6710,10021,6719,11715,11086,6086,11420,10155,7305,4885,11096,5575,5865,4896,7981,8211,8589,6549,11439,4361,7460,7432,7496,9001,7577,6399,11927,7527,6512,8185,7022,8375,5359,8911,7740,11908,4184,4790,5580,7033,9969,6811,7231,6538,5683,8137,7519,11783,9721,11960,11045,7001,6150,10743,10470,10803,10359,10724,11679,9250,11592,4237,4028,6077,8230,6236,4846,11141,9555,7548,11851,7464,11420,4049,4736,5925,6516,7994,8898,5965,8738,9299,10319,5109,4528,4469,10997,7616,6071,8343,7495,8276,10907,7370,7014,6347,7522,6410,5662,7082,6334,8030,7863,4696,6349,5798,5557,6359,11167,5359,10507,10129,6705,11741,6919,4717,6179,11049,9088,8862,6590,7276,11954,4314,7261,6940,10799,7820,11597,10300,6856,6619,9236,9032,6530,11202,7843,9360,5217,7361,4088,10301,11304,10338,7944,8890,6381,7016,5204,5323,8057,8908,9493,5416,8680,10040,8186,10130,10744,11034,10892,7124,4069,10395,10833,9152,5595
"8",9526,4334,8307,11391,5938,6495,9327,5359,4267,5334,5443,8944,7952,5421,7634,7479,7401,11275,5289,10755,10818,11001,10127,9053,10138,8782,11040,9979,6047,7948,7140,6118,9560,9944,5914,11883,4757,6414,11050,4130,11971,4304,5758,9028,8351,5301,8515,4139,6253,5390,7654,4890,8699,4426,6331,6404,11692,10697,6724,6395,11279,4287,4118,6338,7529,10255,9957,10716,7112,8372,11294,11091,11096,8895,6057,10976,8045,7644,10085,9199,7327,5661,9075,4729,6129,4718,8367,4403,4350,5718,11715,5011,7277,8653,5650,11881,8807,9261,9741,11129,9887,6628,11196,8894,6523,11894,11264,4740,8358,6452,11084,10591,9225,4095,7531,6422,7649,4623,4437,7488,8937,8203,6314,11512,11841,6295,6631,5400,10671,9224,9935,10664,7958,8053,10719,4979,5520,10253,5898,4123,10905,8442,10365,9414,5733,5810,8119,7498,11655,10471,9366,4046,11689,7576,8240,10309,5681,4977,7782,9955,7464,8423,6150,9859,8320,7780,4537,4168,9471,4508,4665,7874,7687,4027,11993,9480,5842,9203,6019,10548,4546,9607,4957,10116,11357,11793,8095,10512,5816,6220,6354,10323,6627,8891,4595,11757,11153,10264,7943,7887,7708,11194,7121,9738,11594,6329,9724,8236,6266,9572,7632,7648,9272,11192,4074,6655,6436,5922,11589,6716,7853,10223,4201,7176,6618,10269,11102,7521,11773,11938,5102,9665,8012,6373,5635,9790,8333,10404,7589,11812,8160,7813,6584,11327,9666,6811,11783,6457,4267,4001
"9",9890,9573,4899,7915,6662,11216,6659,10381,7353,7729,8826,6166,6876,6387,8044,11915,11506,9877,8521,8166,5392,11228,6303,7117,5967,10261,10855,5451,4070,7177,8960,6353,5975,8445,8110,8370,7283,5280,4090,6199,5661,11267,10523,4677,5080,10793,9337,8536,7107,7382,10754,8934,7779,11010,7690,5697,6655,10251,6564,10884,11136,10534,4895,5590,11218,8426,5447,7770,6875,9705,4634,6967,5554,9466,7920,5685,9705,4526,9708,6974,6406,9297,7097,10560,9894,6169,10832,4166,4835,4064,9634,6469,8259,5925,4266,7649,7423,7326,9661,6352,8253,11365,5723,10393,11276,7348,10849,11053,9309,4545,7081,10983,6241,9937,7130,6010,7656,6518,9037,11522,11634,9221,7818,5510,8701,11897,11263,10435,11052,7741,10455,6530,9096,7088,4884,5554,4301,9429,7679,8632,4805,11001,10722,4564,7198,5539,8428,9959,4827,7966,8193,7299,9603,7962,6431,5765,11955,5417,11875,11760,8568,9758,8438,7654,5176,5663,9424,7948,11873,9807,6479,8243,10324,9527,10494,6620,11734,4641,11141,11595,5881,11905,9048,9578,10017,9070,8058,5281,9000,6429,9374,7522,6124,8909,11158,6993,11798,7644,10879,9117,4609,8185,8474,11372,11008,7824,7268,11377,4155,5053,7595,11248,8779,6733,8039,8754,10653,10063,8076,10137,11323,9734,7054,6453,5247,8186,5647,9507,6322,8947,5569,5971,8751,6641,10649,6457,5592,9968,4102,8374,6217,8709,4853,5513,9838,7190,11847,5695,7246,8469
"10",8018,4328,10334,9818,5685,5832,7939,10127,6951,10682,8609,9484,9027,5384,8563,8512,6990,8478,11365,4733,5384,11460,6703,4518,4775,9131,7294,7311,8461,10309,10245,11711,6774,10730,9660,10263,10161,11889,4784,10615,9792,11570,5265,5642,5863,8606,10525,5066,8424,10959,7357,9255,4740,11556,5280,11105,11880,10128,7881,7434,6273,9227,8871,4557,5165,8639,4952,8981,5181,6000,11015,11025,10511,11661,4625,11153,11927,4111,4853,9585,10238,7590,4806,4805,7412,11886,6128,6369,10398,4923,10217,7809,7940,4564,5020,4522,10721,11536,5738,10220,6758,4864,10533,9854,11891,9077,7584,6196,10834,7215,4312,11510,6239,10342,4026,5743,8773,9561,11957,7774,6517,4916,5522,11194,11361,7460,8427,7940,9259,7027,7490,11950,9789,9923,9946,9377,6194,4993,5350,9619,9609,4409,4340,8493,5776,6210,11921,8402,9812,7605,6051,9908,8241,8482,4087,10835,10192,8480,11683,7454,11800,11557,11780,9873,11604,6312,8291,5673,4202,7070,10707,8695,10031,5969,5995,11275,5056,11108,9417,5501,4047,8707,6384,4758,11243,11398,8618,7038,4213,11983,8524,5980,9188,7043,6630,4083,8439,4508,10067,9717,8884,6434,9867,5094,8442,8613,4642,5101,9735,11111,10038,8766,9766,4870,7493,9954,8037,4850,6208,4593,9800,6627,11469,5636,5811,5281,5301,10887,8158,7404,9894,11909,6576,9144,9879,9036,9883,4758,4288,10890,9337,5485,9251,9199,8232,4556,11474,11267,4482,9797
